"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,218.868050,4.708772,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,485.446446,16.116842,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,543.212043,7.500062,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,45.279677,0.723482,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,2077.660114,58.653460,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,10089.270409,421.305233,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,515.978487,14.475069,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,201.396414,6.791048,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,58.477685,0.705702,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,398.881071,15.222720,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,11.203373,0.235844,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,759.478049,12.484145,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3140.501154,10.119457,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,49.882726,0.335701,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,237.284137,0.188401,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,32.162281,0.267481,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,283.301623,2.009334,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,8752.256250,270.501078,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,118.936207,1.607718,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,364.705180,15.979907,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,968.128522,8.323439,"ops/min"
