Timestamp,Slave 0,Slave 1,Slave 2,
1714908701018,0,,,,
1714908701027,0,0,,
1714908701030,,,0,
1714908701050,,0.009337349397590362,,
1714908701060,,,0.007939053728949479,
1714908701068,1.8345738547017508E-4,,,,
1714908701097,0.0071382995693093,,,
1714908702019,0.0,,,,
1714908702029,,0.0,,
1714908702031,,,0.0,
1714908702043,0.0,,,
1714908703019,0.0,,,,
1714908703028,0.0,0.0,,
1714908703034,,,0.0,
1714908704019,0.0,,,,
1714908704028,0.0,0.0,,
1714908704032,,,0.0,
1714908705019,0.0,,,,
1714908705028,0.0,0.0,,
1714908705032,,,0.0,
1714908706020,0.0,,,,
1714908706028,0.0,,,
1714908706029,,0.00475,,
1714908706031,,,0.0035035035035035035,
1714908707019,0.0,,,,
1714908707028,0.006,0.0,,
1714908707031,,,0.0,
1714908708020,0.0,,,,
1714908708029,0.0,0.0,,
1714908708035,,,0.0,
1714908709019,0.0,,,,
1714908709028,0.0,0.0,,
1714908709031,,,0.0,
1714908710019,0.0,,,,
1714908710028,0.0,0.0,,
1714908710031,,,0.0,
1714908711019,0.0,,,,
1714908711028,0.0,0.0,,
1714908711031,,,0.0,
1714908712019,0.0,,,,
1714908712028,0.0,0.0,,
1714908712031,,,0.0,
1714908713019,0.0,,,,
1714908713028,0.0,,,
1714908713029,,0.0,,
1714908713031,,,0.0,
1714908714019,0.0,,,,
1714908714028,0.0,0.0,,
1714908714031,,,0.0,
1714908715019,0.0,,,,
1714908715028,0.0,0.00725,,
1714908715031,,,0.007,
1714908716023,0.0,,,,
1714908716029,0.007984031936127744,,,
1714908716030,,0.0,,
1714908716032,,,0.0,
1714908717019,0.0,,,,
1714908717028,0.0,0.0,,
1714908717031,,,0.0,
1714908718019,0.0,,,,
1714908718028,0.0,0.0,,
1714908718031,,,0.0,
1714908719020,0.0,,,,
1714908719028,,0.0,,
1714908719029,0.0,,,
1714908719031,,,0.0,
1714908720019,0.0,,,,
1714908720028,0.0,0.0,,
1714908720031,,,0.0,
1714908721019,0.0,,,,
1714908721027,0.0,,,
1714908721028,,0.0,,
1714908721031,,,0.0,
1714908722019,0.0,,,,
1714908722028,0.0,0.0,,
1714908722033,,,0.0,
1714908723019,0.0,,,,
1714908723028,0.0,0.0,,
1714908723035,,,0.0,
1714908724019,0.0,,,,
1714908724028,0.0,0.00525,,
1714908724031,,,0.005522088353413655,
1714908725019,0.0,,,,
1714908725027,0.0,,,
1714908725028,,0.0,,
1714908725031,,,0.0,
1714908726019,0.0,,,,
1714908726028,0.00475,0.0,,
1714908726030,,,0.0,
1714908727019,0.0,,,,
1714908727028,0.0,0.0,,
1714908727031,,,0.0,
1714908728019,0.0,,,,
1714908728027,0.0,,,
1714908728028,,0.0,,
1714908728031,,,0.0,
1714908729019,0.0,,,,
1714908729027,0.0,,,
1714908729028,,0.0,,
1714908729031,,,0.0045,
1714908730019,0.0,,,,
1714908730028,0.0,0.0,,
1714908730031,,,0.0,
1714908731019,0.0,,,,
1714908731028,0.0,,,
1714908731029,,0.0,,
1714908731031,,,0.0,
1714908732019,0.0,,,,
1714908732028,0.0,0.0,,
1714908732031,,,0.0,
1714908733020,0.0,,,,
1714908733028,0.0,0.005,,
1714908733031,,,0.0,
1714908734019,0.0,,,,
1714908734028,0.0,0.0,,
1714908734031,,,0.00475,
1714908735019,0.0,,,,
1714908735028,0.00425,,,
1714908735030,,0.0,,
1714908735031,,,0.0,
1714908736019,0.0,,,,
1714908736028,0.0,0.0,,
1714908736032,,,0.0,
1714908737019,0.0,,,,
1714908737027,0.0,,,
1714908737028,,0.0,,
1714908737031,,,0.0,
1714908738019,0.0,,,,
1714908738028,0.0,,,
1714908738030,,0.0042415169660678645,,
1714908738031,,,0.0,
1714908739019,0.0,,,,
1714908739027,0.0,,,
1714908739028,,0.0,,
1714908739031,,,0.005,
1714908740019,0.0,,,,
1714908740027,0.0,,,
1714908740029,,0.0,,
1714908740031,,,0.0,
1714908741019,0.0,,,,
1714908741028,0.00475,0.0,,
1714908741031,,,0.0,
1714908742019,0.0,,,,
1714908742027,0.0,,,
1714908742028,,0.0,,
1714908742031,,,0.0,
1714908743019,0.0,,,,
1714908743027,0.0,,,
1714908743028,,0.0,,
1714908743031,,,0.0,
1714908744019,0.0,,,,
1714908744028,0.0,0.005244755244755245,,
1714908744046,,,0.005659448818897638,
1714908745019,0.0,,,,
1714908745027,0.0,,,
1714908745028,,0.0,,
1714908745030,,,0.0,
1714908746019,0.0,,,,
1714908746027,0.0,,,
1714908746028,,0.0,,
1714908746030,,,0.0,
1714908747019,0.0,,,,
1714908747027,0.00475,,,
1714908747028,,0.0,,
1714908747030,,,0.0,
1714908748019,0.0,,,,
1714908748027,0.0,,,
1714908748028,,0.0,,
1714908748031,,,0.0,
1714908749019,0.0,,,,
1714908749027,0.0,,,
1714908749028,,0.0,,
1714908749030,,,0.0,
1714908750019,0.0,,,,
1714908750028,,0.004995004995004995,,
1714908750029,0.0,,,
1714908750030,,,0.00375,
1714908751021,0.0,,,,
1714908751028,0.0,0.0,,
1714908751030,,,0.0,
1714908752019,0.0,,,,
1714908752027,0.0,,,
1714908752028,,0.0,,
1714908752031,,,0.0,
1714908753019,0.0,,,,
1714908753027,0.0,,,
1714908753028,,0.0,,
1714908753030,,,0.0,
1714908754019,0.0,,,,
1714908754028,0.005,0.0,,
1714908754031,,,0.0,
1714908755019,0.0,,,,
1714908755027,0.0,,,
1714908755028,,0.0,,
1714908755031,,,0.0,
1714908756019,0.0,,,,
1714908756027,0.0,,,
1714908756028,,0.00525,,
1714908756031,,,0.00425,
1714908757019,0.0,,,,
1714908757027,0.0,,,
1714908757028,,0.0,,
1714908757031,,,0.0,
1714908758019,0.0,,,,
1714908758027,0.0,,,
1714908758028,,0.0,,
1714908758031,,,0.0,
1714908759019,0.0,,,,
1714908759027,0.0,,,
1714908759028,,0.0,,
1714908759031,,,0.0,
1714908760019,0.0,,,,
1714908760028,,0.0,,
1714908760031,,,0.0,
1714908760045,0.005653883972468043,,,
1714908761019,0.0,,,,
1714908761027,0.0,,,
1714908761028,,0.0,,
1714908761030,,,0.0,
1714908762019,0.0,,,,
1714908762027,0.0,,,
1714908762028,,0.00525,,
1714908762031,,,0.0045,
1714908763019,0.0,,,,
1714908763027,0.0,,,
1714908763029,,0.0,,
1714908763031,,,0.0,
1714908764019,0.0,,,,
1714908764027,0.0,,,
1714908764030,,0.0,,
1714908764031,,,0.0,
1714908765020,0.0,,,,
1714908765028,0.0,0.0,,
1714908765031,,,0.0,
1714908766019,0.0,,,,
1714908766028,0.0,0.0,,
1714908766032,,,0.0,
1714908767019,0.0,,,,
1714908767028,0.00525,0.0,,
1714908767030,,,0.0,
1714908768020,0.0,,,,
1714908768027,0.0,,,
1714908768029,,0.005244755244755245,,
1714908768031,,,0.0045,
1714908769019,0.0,,,,
1714908769027,0.0,,,
1714908769029,,0.0,,
1714908769032,,,0.0,
1714908770019,0.0,,,,
1714908770027,0.0,,,
1714908770028,,0.0,,
1714908770031,,,0.0,
1714908771019,0.0,,,,
1714908771027,0.0,,,
1714908771028,,0.0,,
1714908771030,,,0.0,
1714908772019,0.0,,,,
1714908772028,0.0,0.0,,
1714908772030,,,0.0,
1714908773019,0.0,,,,
1714908773028,0.0,,,
1714908773031,,,0.0,
1714908773050,,0.007575757575757576,,
1714908774019,0.0,,,,
1714908774028,,0.0,,
1714908774029,0.004995004995004995,,,
1714908774031,,,0.0,
1714908775019,0.0,,,,
1714908775027,0.0,,,
1714908775028,,0.0,,
1714908775031,,,0.0045,
1714908776019,0.0,,,,
1714908776027,0.0,,,
1714908776028,,0.0,,
1714908776031,,,0.0,
1714908777019,0.0,,,,
1714908777027,0.0,,,
1714908777028,,0.0,,
1714908777031,,,0.0,
1714908778019,0.0,,,,
1714908778028,0.055,0.05094905094905095,,
1714908778031,,,0.048,
1714908779019,0.0,,,,
1714908779027,0.0,,,
1714908779028,,0.0,,
1714908779030,,,0.0,
1714908780019,0.0,,,,
1714908780027,0.0,,,
1714908780028,,0.0,,
1714908780031,,,0.0,
1714908781019,0.0,,,,
1714908781027,0.0,,,
1714908781028,,0.0,,
1714908781031,,,0.0,
1714908782019,0.0,,,,
1714908782027,0.0,,,
1714908782028,,0.0,,
1714908782030,,,0.0,
1714908783019,0.0,,,,
1714908783027,0.0,,,
1714908783028,,0.00325,,
1714908783031,,,0.0,
1714908784019,0.0,,,,
1714908784027,0.00425,,,
1714908784028,,0.0,,
1714908784031,,,0.0045,
1714908785019,0.0,,,,
1714908785027,0.0,,,
1714908785028,,0.0,,
1714908785034,,,0.0,
1714908786019,0.0,,,,
1714908786027,0.0,,,
1714908786028,,0.0,,
1714908786030,,,0.0,
1714908787019,0.0,,,,
1714908787027,0.0,,,
1714908787028,,0.0,,
1714908787030,,,0.0,
1714908788019,0.00225,,,,
1714908788027,0.0,,,
1714908788028,,0.0,,
1714908788031,,,0.0,
1714908789019,0.0,,,,
1714908789027,0.0,,,
1714908789028,,0.006,,
1714908789031,,,0.0,
1714908790019,0.0,,,,
1714908790027,0.0,,,
1714908790028,,0.0,,
1714908790031,,,0.0,
1714908791019,0.0,,,,
1714908791028,0.00525,0.0,,
1714908791031,,,0.00975,
1714908792019,0.0,,,,
1714908792027,0.0,,,
1714908792028,,0.0,,
1714908792030,,,0.0,
1714908793019,0.0,,,,
1714908793027,0.0,,,
1714908793028,,0.0,,
1714908793030,,,0.0,
1714908794019,0.0,,,,
1714908794027,0.0,,,
1714908794028,,0.0,,
1714908794030,,,0.0,
1714908795019,0.0,,,,
1714908795027,0.0,,,
1714908795028,,0.006,,
1714908795031,,,0.0,
1714908796019,0.0,,,,
1714908796027,0.0,,,
1714908796028,,0.0,,
1714908796031,,,0.0,
1714908797019,0.0,,,,
1714908797027,0.0055,,,
1714908797028,,0.0,,
1714908797031,,,0.00475,
1714908798019,0.0,,,,
1714908798027,0.0,,,
1714908798029,,0.0,,
1714908798030,,,0.0,
1714908799019,0.0,,,,
1714908799027,0.0,,,
1714908799028,,0.0,,
1714908799030,,,0.0,
1714908800019,0.0,,,,
1714908800027,0.0,,,
1714908800028,,0.00575,,
1714908800030,,,0.0,
1714908801019,0.0,,,,
1714908801027,0.0,,,
1714908801028,,0.0,,
1714908801031,,,0.0,
1714908802019,0.0,,,,
1714908802027,0.0,,,
1714908802028,,0.0,,
1714908802030,,,0.0,
1714908803019,0.0,,,,
1714908803028,0.0,0.0,,
1714908803030,,,0.005,
1714908804019,0.0,,,,
1714908804027,0.00475,,,
1714908804028,,0.0,,
1714908804030,,,0.0,
1714908805019,0.0,,,,
1714908805027,0.0,,,
1714908805028,,0.005244755244755245,,
1714908805031,,,0.0,
1714908806019,0.0,,,,
1714908806027,0.0,,,
1714908806028,,0.0,,
1714908806030,,,0.0,
1714908807019,0.0,,,,
1714908807027,0.0,,,
1714908807028,,0.0,,
1714908807030,,,0.0,
1714908808019,0.0,,,,
1714908808027,0.0,,,
1714908808028,,0.0,,
1714908808030,,,0.0,
1714908809019,0.0,,,,
1714908809027,0.0,,,
1714908809028,,0.0,,
1714908809030,,,0.0055,
1714908810019,0.0,,,,
1714908810027,0.005,,,
1714908810028,,0.0,,
1714908810030,,,0.0,
1714908811019,0.0,,,,
1714908811027,0.0,,,
1714908811028,,0.005,,
1714908811031,,,0.0,
1714908812019,0.0,,,,
1714908812027,0.0,,,
1714908812028,,0.0,,
1714908812030,,,0.0,
1714908813019,0.0,,,,
1714908813027,0.0,,,
1714908813028,,0.0,,
1714908813030,,,0.0,
1714908814019,0.0,,,,
1714908814027,0.0,,,
1714908814028,,0.0,,
1714908814030,,,0.0,
1714908815019,0.0,,,,
1714908815028,0.0,0.0,,
1714908815031,,,0.005,
1714908816019,0.0,,,,
1714908816027,0.0045,,,
1714908816028,,0.005,,
1714908816030,,,0.0,
1714908817019,0.0,,,,
1714908817027,0.0,,,
1714908817028,,0.0,,
1714908817031,,,0.0,
1714908818019,0.0,,,,
1714908818027,0.0,,,
1714908818028,,0.0,,
1714908818030,,,0.0,
1714908819019,0.0,,,,
1714908819027,0.0,,,
1714908819028,,0.0,,
1714908819030,,,0.0,
1714908820019,0.0,,,,
1714908820027,0.0,,,
1714908820028,,0.0,,
1714908820030,,,0.0,
1714908821019,0.0,,,,
1714908821027,0.0,,,
1714908821028,,0.00525,,
1714908821030,,,0.00475,
1714908822019,0.0,,,,
1714908822027,0.0045,,,
1714908822028,,0.0,,
1714908822030,,,0.0,
1714908823019,0.0,,,,
1714908823027,0.0,,,
1714908823028,,0.0,,
1714908823030,,,0.0,
1714908824019,0.0,,,,
1714908824028,0.0,0.0,,
1714908824030,,,0.0,
1714908825019,0.0,,,,
1714908825027,0.0,,,
1714908825028,,0.0,,
1714908825030,,,0.0,
1714908826019,0.0,,,,
1714908826027,0.0,,,
1714908826028,,0.00525,,
1714908826030,,,0.00525,
1714908827019,0.0,,,,
1714908827027,0.0,,,
1714908827028,,0.0,,
1714908827030,,,0.0,
1714908828019,0.0,,,,
1714908828028,0.00475,0.0,,
1714908828034,,,0.0,
1714908829019,0.0,,,,
1714908829027,0.0,,,
1714908829028,,0.0,,
1714908829031,,,0.0,
1714908830019,0.0,,,,
1714908830027,0.0,,,
1714908830028,,0.0,,
1714908830030,,,0.0,
1714908831019,0.0,,,,
1714908831028,,0.005,,
1714908831030,0.0,,0.0,
1714908832019,0.0,,,,
1714908832027,0.0,,,
1714908832028,,0.0,,
1714908832030,,,0.005,
1714908833019,0.0,,,,
1714908833027,0.0,,,
1714908833028,,0.0,,
1714908833031,,,0.0,
1714908834019,0.0,,,,
1714908834027,0.0,,,
1714908834028,,0.0,,
1714908834030,,,0.0,
1714908835019,0.0,,,,
1714908835027,0.006,,,
1714908835028,,0.0,,
1714908835033,,,0.0,
1714908836019,0.0,,,,
1714908836027,0.0,,,
1714908836028,,0.00525,,
1714908836030,,,0.0,
1714908837019,0.0,,,,
1714908837027,0.0,,,
1714908837028,,0.0,,
1714908837030,,,0.00525,
1714908838019,0.0,,,,
1714908838027,0.0,,,
1714908838028,,0.0,,
1714908838031,,,0.0,
1714908839019,0.0,,,,
1714908839027,0.0,,,
1714908839028,,0.0,,
1714908839030,,,0.0,
1714908840019,0.0,,,,
1714908840027,0.0,,,
1714908840028,,0.0,,
1714908840030,,,0.0,
1714908841019,0.0,,,,
1714908841027,0.00425,,,
1714908841028,,0.00525,,
1714908841030,,,0.0,
1714908842019,0.0,,,,
1714908842027,0.0,,,
1714908842028,,0.0,,
1714908842030,,,0.0,
1714908843019,0.0,,,,
1714908843027,0.0,,,
1714908843028,,0.0,,
1714908843031,,,0.005,
1714908844019,0.0,,,,
1714908844027,0.0,,,
1714908844028,,0.0,,
1714908844030,,,0.0,
1714908845019,0.0,,,,
1714908845027,0.0,,,
1714908845028,,0.0,,
1714908845031,,,0.0,
1714908846019,0.0,,,,
1714908846027,0.0,,,
1714908846028,,0.0,,
1714908846030,,,0.0,
1714908847019,0.0,,,,
1714908847027,0.00475,,,
1714908847029,,0.00525,,
1714908847030,,,0.0,
1714908848019,0.0,,,,
1714908848027,0.0,,,
1714908848028,,0.0,,
1714908848031,,,0.005,
1714908849019,0.0,,,,
1714908849027,0.0,,,
1714908849028,,0.0,,
1714908849030,,,0.0,
1714908850019,0.0,,,,
1714908850027,0.0,,,
1714908850029,,0.0,,
1714908850030,,,0.0,
1714908851019,0.0,,,,
1714908851027,0.0,,,
1714908851028,,0.0,,
1714908851031,,,0.0,
1714908852019,0.0,,,,
1714908852027,0.0,,,
1714908852028,,0.005255255255255256,,
1714908852030,,,0.0,
1714908853019,0.0,,,,
1714908853027,0.00475,,,
1714908853028,,0.0,,
1714908853031,,,0.005,
1714908854019,0.0,,,,
1714908854027,0.0,,,
1714908854028,,0.0,,
1714908854030,,,0.0,
1714908855019,0.0,,,,
1714908855027,0.0,,,
1714908855028,,0.0,,
1714908855030,,,0.0,
1714908856019,0.0,,,,
1714908856027,0.0,,,
1714908856028,,0.0,,
1714908856030,,,0.0,
1714908857019,0.0,,,,
1714908857027,0.0,,,
1714908857028,,0.00525,,
1714908857030,,,0.0,
1714908858019,0.0,,,,
1714908858027,0.0,,,
1714908858028,,0.0,,
1714908858030,,,0.0,
1714908859019,0.0,,,,
1714908859027,0.0045,,,
1714908859028,,0.0,,
1714908859030,,,0.00475,
1714908860019,0.0,,,,
1714908860027,0.0,,,
1714908860028,,0.0,,
1714908860030,,,0.0,
1714908861019,0.0,,,,
1714908861027,0.0,,,
1714908861028,,0.0,,
1714908861030,,,0.0,
1714908862019,0.0,,,,
1714908862028,0.0,0.005244755244755245,,
1714908862030,,,0.0,
1714908863019,0.0,,,,
1714908863027,0.0,,,
1714908863028,,0.0,,
1714908863030,,,0.0,
1714908864019,0.0,,,,
1714908864027,0.0,,,
1714908864028,,0.0,,
1714908864030,,,0.005,
1714908865019,0.0,,,,
1714908865027,0.0045,,,
1714908865028,,0.0,,
1714908865031,,,0.0,
1714908866019,0.0,,,,
1714908866027,0.0,,,
1714908866028,,0.0,,
1714908866030,,,0.0,
1714908867019,0.0,,,,
1714908867027,0.0,,,
1714908867028,,0.00525,,
1714908867030,,,0.0,
1714908868019,0.0,,,,
1714908868027,0.0,,,
1714908868028,,0.0,,
1714908868030,,,0.0,
1714908869019,0.0,,,,
1714908869027,0.0,,,
1714908869028,,0.0,,
1714908869030,,,0.005,
1714908870019,0.0,,,,
1714908870027,0.0,,,
1714908870028,,0.0,,
1714908870030,,,0.0,
1714908871019,0.0,,,,
1714908871028,0.0045,0.0,,
1714908871030,,,0.0,
1714908872019,0.0,,,,
1714908872027,0.0,,,
1714908872028,,0.00425,,
1714908872031,,,0.0,
1714908873019,0.0,,,,
1714908873027,0.0,,,
1714908873028,,0.0,,
1714908873030,,,0.0,
1714908874019,0.0,,,,
1714908874027,0.0,,,
1714908874028,,0.0,,
1714908874030,,,0.0,
1714908875019,0.0,,,,
1714908875027,0.0,,,
1714908875028,,0.0,,
1714908875030,,,0.00475,
1714908876019,0.0,,,,
1714908876027,0.0,,,
1714908876028,,0.0,,
1714908876031,,,0.0,
1714908877019,0.0,,,,
1714908877027,0.00475,,,
1714908877028,,0.0,,
1714908877030,,,0.0,
1714908878019,0.0,,,,
1714908878027,0.0,,,
1714908878028,,0.004495504495504496,,
1714908878030,,,0.0,
1714908879019,0.0,,,,
1714908879027,0.0,,,
1714908879028,,0.0,,
1714908879030,,,0.0,
1714908880019,0.0,,,,
1714908880027,0.0,,,
1714908880028,,0.0,,
1714908880030,,,0.00425,
1714908881019,0.0,,,,
1714908881027,0.0,,,
1714908881028,,0.0,,
1714908881030,,,0.0,
1714908882019,0.0,,,,
1714908882027,0.0,,,
1714908882028,,0.0,,
1714908882030,,,0.0,
1714908883019,0.0,,,,
1714908883027,0.00425,,,
1714908883028,,0.0045,,
1714908883030,,,0.0,
1714908884019,0.0,,,,
1714908884027,0.0,,,
1714908884028,,0.0,,
1714908884030,,,0.0,
1714908885019,0.0,,,,
1714908885027,0.0,,,
1714908885028,,0.0,,
1714908885030,,,0.0,
1714908886019,0.0,,,,
1714908886027,0.0,,,
1714908886028,,0.0,,
1714908886030,,,0.00425,
