Timestamp,Slave 0,Slave 1,Slave 2,
1716209615674,0,,,,
1716209615688,,0,,
1716209615695,,,0,
1716209615713,,0.006747297192191025,,
1716209615718,1.673791007879693E-4,,,,
1716209615725,,,0.007489106753812636,
1716209615728,0,,,
1716209615765,0.008786870016257645,,,
1716209616675,0.0,,,,
1716209616689,,0.0,,
1716209616696,,,0.0,
1716209616731,0.0,,,
1716209617675,0.0,,,,
1716209617689,,0.0,,
1716209617697,,,0.0,
1716209617729,0.0,,,
1716209618675,0.0,,,,
1716209618689,,0.0,,
1716209618696,,,0.0,
1716209618729,0.0,,,
1716209619675,0.0,,,,
1716209619689,,0.0,,
1716209619696,,,0.0,
1716209619730,0.0,,,
1716209620677,0.0,,,,
1716209620690,,0.0,,
1716209620697,,,0.0,
1716209620729,0.0,,,
1716209621675,0.0,,,,
1716209621689,,0.004754754754754755,,
1716209621696,,,0.0032532532532532532,
1716209621729,0.0,,,
1716209622677,0.0,,,,
1716209622690,,0.0,,
1716209622700,,,0.0,
1716209622733,0.0069721115537848604,,,
1716209623675,0.0,,,,
1716209623689,,0.0,,
1716209623696,,,0.0,
1716209623729,0.0,,,
1716209624675,0.0,,,,
1716209624689,,0.0,,
1716209624696,,,0.0,
1716209624729,0.0,,,
1716209625675,0.0,,,,
1716209625689,,0.0,,
1716209625696,,,0.0,
1716209625729,0.0,,,
1716209626675,0.0,,,,
1716209626689,,0.0,,
1716209626696,,,0.0,
1716209626729,0.0,,,
1716209627675,0.0,,,,
1716209627689,,0.0,,
1716209627696,,,0.0,
1716209627729,0.0,,,
1716209628675,0.0,,,,
1716209628689,,0.0,,
1716209628696,,,0.0,
1716209628729,0.0,,,
1716209629676,0.0,,,,
1716209629689,,0.0,,
1716209629696,,,0.0,
1716209629729,0.0,,,
1716209630676,0.0,,,,
1716209630690,,0.0,,
1716209630697,,,0.0,
1716209630731,0.0,,,
1716209631675,0.0,,,,
1716209631689,,0.014014014014014014,,
1716209631696,,,0.01976976976976977,
1716209631729,0.0,,,
1716209632675,0.0,,,,
1716209632689,,0.0,,
1716209632696,,,0.0,
1716209632729,0.0115,,,
1716209633675,0.0,,,,
1716209633689,,0.0,,
1716209633696,,,0.0,
1716209633729,0.0,,,
1716209634675,0.0,,,,
1716209634689,,0.0,,
1716209634696,,,0.0,
1716209634730,0.0,,,
1716209635675,0.0,,,,
1716209635689,,0.0,,
1716209635696,,,0.0,
1716209635729,0.0,,,
1716209636675,0.0,,,,
1716209636689,,0.0,,
