10:39:51,783 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /mnt/workspace/results/.
10:39:51,845 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: /mnt/workspace/results/config.xml
10:39:51,852 ERROR [org.radargun.config.DomConfigParser] (main) loading: /mnt/workspace/results/config.xml
10:39:51,872 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /mnt/workspace/results/config.xml
10:39:52,287 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/127.0.0.1:2103
10:39:52,290 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
10:39:57,298 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
10:39:57,319 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
10:39:57,327 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
10:39:57,338 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
10:39:57,548 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
10:39:57,548 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
10:39:57,763 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
10:39:59,557 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
10:39:59,653 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
10:39:59,835 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
10:40:02,825 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 53 ms, 1 = 164 ms, 2 = 42 ms]
10:40:02,826 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
10:40:02,828 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
10:40:02,843 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
10:40:02,844 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
10:40:02,851 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
10:40:11,806 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 8.04 seconds, 1 = 8.5 seconds, 2 = 8.94 seconds]
10:40:11,810 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
10:40:11,812 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
10:40:11,820 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
10:40:11,822 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
10:40:11,823 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
10:40:11,898 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
10:40:11,923 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 19 ms, 1 = 10 ms, 2 = 5 ms]
10:40:11,924 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
