Timestamp,Slave 0,Slave 1,Slave 2,
1715022876005,0,,,,
1715022876021,,0,,
1715022876023,,,0,
1715022876032,0,,,
1715022876101,56,,,,
1715022876109,,,150,
1715022876141,150,,,
1715022876156,,150,,
1715022877007,56,,,,
1715022877022,,150,,
1715022877024,,,150,
1715022877033,150,,,
1715022878006,56,,,,
1715022878022,,150,,
1715022878024,,,150,
1715022878034,150,,,
1715022879006,56,,,,
1715022879022,,150,,
1715022879024,,,150,
1715022879033,150,,,
1715022880006,56,,,,
1715022880022,,150,,
1715022880024,,,150,
1715022880033,150,,,
1715022881006,56,,,,
1715022881022,,150,,
1715022881024,,,150,
1715022881033,150,,,
1715022882007,56,,,,
1715022882025,,,150,
1715022882029,,150,,
1715022882033,150,,,
1715022883007,56,,,,
1715022883023,,150,,
1715022883027,,,150,
1715022883035,150,,,
1715022884008,56,,,,
1715022884024,,150,,
1715022884025,,,150,
1715022884038,150,,,
1715022885006,56,,,,
1715022885022,,150,,
1715022885024,,,150,
1715022885034,150,,,
1715022886006,56,,,,
1715022886022,,150,,
1715022886024,,,150,
1715022886034,150,,,
1715022887006,56,,,,
1715022887022,,150,,
1715022887024,,,150,
1715022887034,150,,,
1715022888006,56,,,,
1715022888022,,150,,
1715022888025,,,150,
1715022888034,150,,,
1715022889006,56,,,,
1715022889022,,150,,
1715022889024,,,150,
1715022889033,150,,,
1715022890006,56,,,,
1715022890022,,150,,
1715022890025,,,150,
1715022890033,150,,,
1715022891012,56,,,,
1715022891024,,150,,
1715022891030,,,150,
1715022891037,150,,,
1715022892006,56,,,,
1715022892022,,150,,
1715022892024,,,150,
1715022892034,150,,,
1715022893007,56,,,,
1715022893022,,150,,
1715022893024,,,150,
1715022893035,150,,,
1715022894006,56,,,,
1715022894022,,150,,
1715022894024,,,150,
1715022894035,150,,,
1715022895006,56,,,,
1715022895022,,150,,
1715022895025,,,150,
1715022895033,150,,,
1715022896006,56,,,,
1715022896022,,150,,
1715022896024,,,150,
1715022896033,150,,,
1715022897006,56,,,,
1715022897022,,150,,
1715022897028,,,150,
1715022897034,150,,,
1715022898006,56,,,,
1715022898022,,150,,
1715022898024,,,150,
1715022898034,150,,,
1715022899006,56,,,,
1715022899022,,150,,
1715022899024,,,150,
1715022899033,150,,,
1715022900011,56,,,,
1715022900022,,150,,
1715022900024,,,150,
1715022900033,150,,,
1715022901008,56,,,,
1715022901022,,150,,
1715022901024,,,150,
1715022901034,150,,,
1715022902006,56,,,,
1715022902022,,150,,
1715022902024,,,150,
1715022902034,150,,,
1715022903006,56,,,,
1715022903022,,150,,
1715022903024,,,150,
1715022903033,150,,,
1715022904006,56,,,,
1715022904022,,150,,
1715022904024,,,150,
1715022904033,150,,,
1715022905006,56,,,,
1715022905022,,150,,
1715022905024,,,150,
1715022905033,150,,,
1715022906006,56,,,,
1715022906022,,150,,
1715022906024,,,150,
1715022906033,150,,,
1715022907007,56,,,,
1715022907022,,150,,
1715022907024,,,150,
1715022907033,150,,,
1715022908006,56,,,,
1715022908022,,150,,
1715022908025,,,150,
1715022908033,150,,,
1715022909006,56,,,,
1715022909024,,,150,
1715022909025,,150,,
1715022909033,150,,,
1715022910006,56,,,,
1715022910023,,150,,
1715022910024,,,150,
1715022910033,150,,,
1715022911006,56,,,,
1715022911022,,150,,
1715022911024,,,150,
1715022911033,150,,,
1715022912006,56,,,,
1715022912022,,150,,
1715022912025,,,150,
1715022912033,150,,,
1715022913006,56,,,,
1715022913022,,150,,
1715022913025,,,150,
1715022913033,150,,,
1715022914006,56,,,,
1715022914022,,150,,
1715022914025,,,150,
1715022914033,150,,,
1715022915006,56,,,,
1715022915023,,150,,
1715022915024,,,150,
1715022915034,150,,,
1715022916006,56,,,,
1715022916022,,150,,
1715022916024,,,150,
1715022916033,150,,,
1715022917006,56,,,,
1715022917023,,150,,
1715022917027,,,150,
1715022917033,150,,,
1715022918006,56,,,,
1715022918022,,150,,
1715022918025,,,150,
1715022918033,150,,,
1715022919006,56,,,,
1715022919022,,150,,
1715022919024,,,150,
1715022919034,150,,,
1715022920005,56,,,,
1715022920022,,150,,
1715022920024,,,150,
1715022920033,150,,,
1715022921006,56,,,,
1715022921022,,150,,
1715022921024,,,150,
1715022921033,150,,,
1715022922006,56,,,,
1715022922022,,150,,
1715022922024,,,150,
1715022922033,150,,,
1715022923006,56,,,,
1715022923022,,150,,
1715022923024,,,150,
1715022923034,150,,,
1715022924006,56,,,,
1715022924022,,150,,
1715022924024,,,150,
1715022924033,150,,,
1715022925005,56,,,,
1715022925022,,150,,
1715022925024,,,150,
1715022925033,150,,,
1715022926006,56,,,,
1715022926022,,150,,
1715022926024,,,150,
1715022926034,150,,,
1715022927006,56,,,,
1715022927022,,150,,
1715022927024,,,150,
1715022927033,150,,,
1715022928006,56,,,,
1715022928022,,150,,
1715022928024,,,150,
1715022928033,150,,,
1715022929006,56,,,,
1715022929022,,150,,
1715022929027,,,150,
1715022929033,150,,,
1715022930006,56,,,,
1715022930022,,150,,
1715022930024,,,150,
1715022930033,150,,,
1715022931006,56,,,,
1715022931022,,150,,
1715022931025,,,150,
1715022931033,150,,,
1715022932006,56,,,,
1715022932022,,150,,
1715022932024,,,150,
1715022932033,150,,,
1715022933006,56,,,,
1715022933022,,150,,
1715022933024,,,150,
1715022933034,150,,,
1715022934005,56,,,,
1715022934022,,150,,
1715022934024,,,150,
1715022934033,150,,,
1715022935006,56,,,,
1715022935022,,150,,
1715022935024,,,150,
1715022935033,150,,,
1715022936005,56,,,,
1715022936022,,150,,
1715022936024,,,150,
1715022936033,150,,,
1715022937006,56,,,,
1715022937022,,150,,
1715022937024,,,150,
1715022937033,150,,,
1715022938006,56,,,,
1715022938022,,150,,
1715022938024,,,150,
1715022938033,150,,,
1715022939005,56,,,,
1715022939022,,150,,
1715022939024,,,150,
1715022939033,150,,,
1715022940006,56,,,,
1715022940022,,150,,
1715022940024,,,150,
1715022940033,150,,,
1715022941006,56,,,,
1715022941022,,150,,
1715022941025,,,150,
1715022941033,150,,,
1715022942006,56,,,,
1715022942022,,150,,
1715022942024,,,150,
1715022942033,150,,,
1715022943006,56,,,,
1715022943022,,150,,
1715022943024,,,150,
1715022943033,150,,,
1715022944006,56,,,,
1715022944022,,150,,
1715022944024,,,150,
1715022944033,150,,,
1715022945005,56,,,,
1715022945022,,150,,
1715022945024,,,150,
1715022945033,150,,,
1715022946005,56,,,,
1715022946022,,150,,
1715022946024,,,150,
1715022946033,150,,,
1715022947005,56,,,,
1715022947022,,150,,
1715022947024,,,150,
1715022947033,150,,,
1715022948006,56,,,,
1715022948022,,150,,
1715022948024,,,150,
1715022948034,150,,,
1715022949006,56,,,,
1715022949022,,150,,
1715022949024,,,150,
1715022949033,150,,,
1715022950006,56,,,,
1715022950022,,150,,
1715022950024,,,150,
1715022950033,150,,,
1715022951006,56,,,,
1715022951022,,150,,
1715022951024,,,150,
1715022951033,150,,,
1715022952006,56,,,,
1715022952022,,150,,
1715022952024,,,150,
1715022952033,150,,,
1715022953006,56,,,,
1715022953022,,150,,
1715022953024,,,150,
1715022953033,150,,,
1715022954006,56,,,,
1715022954022,,150,,
1715022954024,,,150,
1715022954033,150,,,
1715022955006,56,,,,
1715022955022,,150,,
1715022955024,,,150,
1715022955033,150,,,
1715022956005,56,,,,
1715022956022,,150,,
1715022956024,,,150,
1715022956033,150,,,
1715022957006,56,,,,
1715022957022,,150,,
1715022957024,,,150,
1715022957033,150,,,
1715022958006,56,,,,
1715022958022,,150,,
1715022958024,,,150,
1715022958033,150,,,
1715022959006,56,,,,
1715022959022,,150,,
1715022959024,,,150,
1715022959033,150,,,
1715022960005,56,,,,
1715022960022,,150,,
1715022960024,,,150,
1715022960033,150,,,
1715022961007,56,,,,
1715022961022,,150,,
1715022961024,,,150,
1715022961033,150,,,
1715022962006,56,,,,
1715022962022,,150,,
1715022962024,,,150,
1715022962033,150,,,
1715022963005,56,,,,
1715022963022,,150,,
1715022963024,,,150,
1715022963033,150,,,
1715022964005,56,,,,
1715022964022,,150,,
1715022964024,,,150,
1715022964033,150,,,
1715022965005,56,,,,
1715022965022,,150,,
1715022965024,,,150,
1715022965033,150,,,
1715022966005,56,,,,
1715022966022,,150,,
1715022966024,,,150,
1715022966033,150,,,
1715022967005,56,,,,
1715022967022,,150,,
1715022967024,,,150,
1715022967033,150,,,
1715022968005,56,,,,
1715022968022,,150,,
1715022968024,,,150,
1715022968033,150,,,
1715022969005,56,,,,
1715022969022,,150,,
1715022969024,,,150,
1715022969035,150,,,
1715022970006,56,,,,
1715022970022,,150,,
1715022970024,,,150,
1715022970033,150,,,
1715022971005,56,,,,
1715022971022,,150,,
1715022971025,,,150,
1715022971033,150,,,
1715022972006,56,,,,
1715022972022,,150,,
1715022972024,,,150,
1715022972033,150,,,
1715022973005,56,,,,
1715022973022,,150,,
1715022973024,,,150,
1715022973033,150,,,
1715022974005,56,,,,
1715022974022,,150,,
1715022974024,,,150,
1715022974033,150,,,
1715022975005,56,,,,
1715022975022,,150,,
1715022975024,,,150,
1715022975033,150,,,
1715022976006,56,,,,
1715022976022,,150,,
1715022976024,,,150,
1715022976033,150,,,
1715022977005,56,,,,
1715022977022,,150,,
1715022977024,,,150,
1715022977033,150,,,
1715022978005,56,,,,
1715022978022,,150,,
1715022978024,,,150,
1715022978034,150,,,
1715022979006,56,,,,
1715022979022,,150,,
1715022979024,,,150,
1715022979033,150,,,
1715022980006,56,,,,
1715022980022,,150,,
1715022980024,,,150,
1715022980033,150,,,
1715022981005,56,,,,
1715022981022,,150,,
1715022981024,,,150,
1715022981033,150,,,
1715022982005,56,,,,
1715022982024,,150,150,
1715022982033,150,,,
1715022983006,56,,,,
1715022983022,,150,,
1715022983024,,,150,
1715022983033,150,,,
1715022984006,56,,,,
1715022984022,,150,,
1715022984024,,,150,
1715022984033,150,,,
1715022985005,56,,,,
1715022985022,,150,,
1715022985024,,,150,
1715022985033,150,,,
1715022986006,56,,,,
1715022986022,,150,,
1715022986024,,,150,
1715022986033,150,,,
1715022987006,56,,,,
1715022987022,,150,,
1715022987024,,,150,
1715022987033,150,,,
1715022988005,56,,,,
1715022988022,,150,,
1715022988024,,,150,
1715022988033,150,,,
1715022989005,56,,,,
1715022989022,,150,,
1715022989024,,,150,
1715022989033,150,,,
1715022990005,56,,,,
1715022990022,,150,,
1715022990024,,,150,
1715022990033,150,,,
1715022991005,56,,,,
1715022991022,,150,,
1715022991024,,,150,
1715022991034,150,,,
1715022992005,56,,,,
1715022992022,,150,,
1715022992024,,,150,
1715022992033,150,,,
1715022993005,56,,,,
1715022993022,,150,,
1715022993024,,,150,
1715022993033,150,,,
1715022994006,56,,,,
1715022994022,,150,,
1715022994024,,,150,
1715022994033,150,,,
1715022995005,56,,,,
1715022995022,,150,,
1715022995024,,,150,
1715022995033,150,,,
1715022996005,56,,,,
1715022996022,,150,,
1715022996024,,,150,
1715022996034,150,,,
1715022997005,56,,,,
1715022997022,,150,,
