Timestamp,Slave 0,Slave 1,Slave 2,
1716267704488,0,,,,
1716267704510,,0,,
1716267704521,0,,,
1716267704523,,,0,
1716267704525,0.03164093041438624,,,,
1716267704531,,0.1778104335047759,,
1716267704532,0.1786896095301125,,,
1716267704557,,,0.17176970407266334,
1716267705489,0.036344755970924195,,,,
1716267705511,,0.28061224489795916,,
1716267705521,0.27553083923154703,,,
1716267705524,,,0.28955532574974147,
1716267706489,0.0,,,,
1716267706511,,0.2925,,
1716267706521,0.285,,,
1716267706524,,,0.33,
1716267707489,0.0024975024975024975,,,,
1716267707511,,0.305,,
1716267707522,0.3075,,,
1716267707524,,,0.3,
1716267708489,0.005005005005005005,,,,
1716267708511,,0.3,,
1716267708521,0.3025,,,
1716267708524,,,0.3275,
1716267709489,0.0,,,,
1716267709511,,0.3225,,
1716267709522,0.2822177822177822,,,
1716267709524,,,0.3075,
1716267710489,0.0025025025025025025,,,,
1716267710511,,0.2975,,
1716267710521,0.2752752752752753,,,
1716267710524,,,0.3525,
1716267711489,0.0025,,,,
1716267711511,,0.2825,,
1716267711521,0.2525,,,
1716267711524,,,0.355,
1716267712489,0.0024975024975024975,,,,
1716267712511,,0.305,,
1716267712522,0.2925,,,
1716267712526,,,0.2997002997002997,
1716267713489,0.0,,,,
1716267713511,,0.32,,
1716267713523,0.2947052947052947,,,
1716267713524,,,0.2952952952952953,
1716267714489,0.0024975024975024975,,,,
1716267714511,,0.285,,
1716267714522,0.2977977977977978,,,
1716267714524,,,0.33,
1716267715489,0.0025,,,,
1716267715511,,0.295,,
1716267715522,0.2972027972027972,,,
1716267715525,,,0.3246753246753247,
1716267716489,0.0025025025025025025,,,,
1716267716511,,0.3325,,
1716267716521,0.2752752752752753,,,
1716267716524,,,0.3103103103103103,
1716267717489,0.0,,,,
1716267717511,,0.3075,,
1716267717521,0.2775,,,
1716267717525,,,0.325,
1716267718489,0.0025,,,,
1716267718511,,0.32,,
1716267718521,0.27,,,
1716267718524,,,0.325,
1716267719489,0.0,,,,
1716267719659,0.25285839929639403,,,
1716267719663,,,0.2897278314310799,
1716267719781,,0.3425196850393701,,
1716267720491,0.0024975024975024975,,,,
1716267720512,,0.307797537619699,,
1716267720522,0.2980324074074074,,,
1716267720525,,,0.2668213457076566,
1716267721489,0.00751503006012024,,,,
1716267721511,,0.3128128128128128,,
1716267721521,0.2727727727727728,,,
1716267721524,,,0.2777777777777778,
1716267722490,0.0,,,,
1716267722511,,0.35,,
1716267722522,0.1775,,,
1716267722525,,,0.25724275724275725,
1716267723489,0.0,,,,
1716267723511,,0.2325,,
1716267723521,0.2125,,,
1716267723525,,,0.2527527527527528,
1716267724489,0.0025,,,,
1716267724511,,0.1875,,
1716267724521,0.24,,,
1716267724524,,,0.2425,
1716267725489,0.0,,,,
1716267725511,,0.1975,,
1716267725522,0.1975,,,
1716267725525,,,0.26723276723276723,
1716267726504,0.0024630541871921183,,,,
1716267726539,0.17453294001966568,,,
1716267726546,,,0.2277179236043095,
1716267726843,,0.31343843843843844,,
1716267727489,0.007614213197969543,,,,
1716267727511,,0.22080838323353294,,
1716267727521,0.12461851475076297,,,
1716267727524,,,0.19427402862985685,
1716267728489,0.01,,,,
1716267728511,,0.2975,,
1716267728521,0.2975,,,
1716267728524,,,0.28,
1716267729490,0.00249500998003992,,,,
1716267729511,,0.305,,
1716267729521,0.2725,,,
1716267729524,,,0.325,
1716267730488,0.00250501002004008,,,,
1716267730511,,0.2975,,
1716267730521,0.2775,,,
1716267730524,,,0.325,
1716267731489,0.0,,,,
1716267731511,,0.2625,,
1716267731521,0.2925,,,
1716267731524,,,0.34,
1716267732489,0.0,,,,
1716267732511,,0.315,,
1716267732521,0.3225,,,
1716267732524,,,0.2425,
1716267733488,0.0025,,,,
1716267733511,,0.195,,
1716267733521,0.2625,,,
1716267733524,,,0.2675,
1716267734489,0.0,,,,
1716267734511,,0.1975,,
1716267734521,0.235,,,
1716267734524,,,0.3225,
1716267735489,0.0025,,,,
1716267735511,,0.21,,
1716267735521,0.2125,,,
1716267735527,,,0.2741774675972084,
1716267736489,0.0025,,,,
1716267736511,,0.18,,
1716267736521,0.17,,,
1716267736524,,,0.3711133400200602,
1716267737488,0.0,,,,
1716267737511,,0.2475,,
1716267737521,0.25,,,
1716267737526,,,0.21478521478521478,
1716267738489,0.0025,,,,
1716267738511,,0.24,,
1716267738521,0.2025,,,
1716267738524,,,0.22272272272272273,
1716267739488,0.0,,,,
1716267739511,,0.2025,,
1716267739521,0.2275,,,
1716267739524,,,0.2002002002002002,
1716267740489,0.0,,,,
1716267740511,,0.27,,
1716267740521,0.2125,,,
1716267740524,,,0.2025,
1716267741488,0.0025,,,,
1716267741511,,0.2025,,
1716267741521,0.2125,,,
1716267741524,,,0.205,
1716267742489,0.0,,,,
1716267742521,0.2075,0.2103960396039604,,
1716267742579,,,0.24170616113744076,
1716267743488,0.0025,,,,
1716267743511,,0.1994949494949495,,
1716267743521,0.2025,,,
1716267743524,,,0.2219873150105708,
1716267744489,0.0,,,,
1716267744511,,0.2,,
1716267744521,0.2375,,,
1716267744524,,,0.1976976976976977,
1716267745488,0.0025,,,,
1716267745511,,0.2025,,
1716267745521,0.21,,,
1716267745524,,,0.22227772227772227,
1716267746488,0.0025,,,,
1716267746511,,0.2125,,
1716267746521,0.2125,,,
1716267746524,,,0.21771771771771772,
1716267747489,0.0,,,,
1716267747511,,0.2175,,
1716267747521,0.21,,,
1716267747524,,,0.21,
1716267748488,0.0025,,,,
1716267748511,,0.21,,
1716267748521,0.215,,,
1716267748524,,,0.2125,
1716267749488,0.0,,,,
1716267749511,,0.21,,
1716267749521,0.205,,,
1716267749524,,,0.2122877122877123,
1716267750489,0.0025,,,,
1716267750511,,0.2075,,
1716267750522,0.2125,,,
1716267750524,,,0.21271271271271272,
1716267751488,0.0,,,,
1716267751511,,0.2025,,
1716267751521,0.235,,,
1716267751524,,,0.215,
1716267752488,0.0,,,,
1716267752511,,0.2025,,
1716267752521,0.215,,,
1716267752524,,,0.215,
1716267753488,0.0025,,,,
1716267753511,,0.2125,,
1716267753521,0.2025,,,
1716267753524,,,0.2175,
1716267754488,0.0,,,,
1716267754511,,0.2125,,
1716267754521,0.205,,,
1716267754524,,,0.21,
1716267755488,0.0025,,,,
1716267755511,,0.215,,
1716267755521,0.2175,,,
