Timestamp,Slave 0,Slave 1,Slave 2,
1716283920425,0,,,,
1716283920432,,,0,
1716283920433,0,,,
1716283920438,,0,,
1716283920457,,,67,
1716283920461,72,,,
1716283920483,17,,,,
1716283920500,,75,,
1716283921426,18,,,,
1716283921433,,,19,
1716283921434,91,,,
1716283921454,,27,,
1716283922426,18,,,,
1716283922433,,,32,
1716283922437,104,,,
1716283922439,,40,,
1716283923426,18,,,,
1716283923432,,,48,
1716283923433,33,,,
1716283923439,,58,,
1716283924426,18,,,,
1716283924432,,,67,
1716283924433,54,,,
1716283924439,,79,,
1716283925426,18,,,,
1716283925433,,,87,
1716283925435,74,,,
1716283925439,,101,,
1716283926425,18,,,,
1716283926433,93,,,
1716283926439,,119,,
1716283926443,,,103,
1716283927426,18,,,,
1716283927432,,,118,
1716283927433,110,,,
1716283927439,,136,,
1716283928426,18,,,,
1716283928432,,,48,
1716283928433,129,,,
1716283928439,,156,,
1716283929435,46,,,
1716283929437,18,,,,
1716283929440,,53,,
1716283929445,,,65,
1716283930426,18,,,,
1716283930433,,,87,
1716283930435,69,,,
1716283930439,,76,,
1716283931426,18,,,,
1716283931433,,,111,
1716283931434,93,,,
1716283931439,,102,,
1716283932426,19,,,,
1716283932432,,,133,
1716283932434,116,,,
1716283932439,,126,,
1716283933425,19,,,,
1716283933433,134,,,
1716283933439,,144,,
1716283933742,,,47,
1716283934426,19,,,,
1716283934433,,,62,
1716283934434,148,,,
1716283934439,,159,,
1716283935428,19,,,,
1716283935435,67,,,
1716283935441,,,86,
1716283935442,,68,,
1716283936426,19,,,,
1716283936433,,,111,
1716283936435,93,,,
1716283936439,,94,,
1716283937425,19,,,,
1716283937434,120,,,
1716283937436,,,81,
1716283937439,,120,,
1716283938426,19,,,,
1716283938433,,,109,
1716283938435,152,,,
1716283938439,,152,,
1716283939425,19,,,,
1716283939433,85,,145,
1716283939439,,82,,
1716283940425,19,,,,
1716283940432,,,107,
1716283940433,128,,,
1716283940439,,123,,
1716283941425,19,,,,
1716283941432,,,146,
1716283941433,171,,,
1716283941439,,167,,
1716283942426,20,,,,
1716283942432,,,88,
1716283942433,203,,,
1716283942439,,193,,
1716283943425,20,,,,
1716283943432,,,106,
1716283943434,104,,,
1716283943439,,211,,
1716283944425,20,,,,
1716283944432,,,126,
1716283944433,125,,,
1716283944439,,107,,
1716283945426,20,,,,
