Timestamp,Slave 0,Slave 1,Slave 2,
1716364733348,91232,,,,
1716364733377,316360,,,
1716364733422,,,319460,
1716364733434,,338884,,
1716364734335,91360,,,,
1716364734350,324040,,328548,
1716364734376,,342704,,
1716364735375,,,335460,
1716364735449,333256,,,
1716364735458,91488,,349616,,
1716364736391,349256,,,
1716364736396,,,343728,
1716364736440,91616,,,,
1716364736447,,372144,,
1716364737348,350152,,,
1716364737354,91616,,,,
1716364737380,,,367792,
1716364737420,,391600,,
1716364738345,91744,,,,
1716364738348,,,388400,
1716364738353,353656,,,
1716364738360,,407344,,
1716364739406,354680,,,
1716364739408,,,411696,
1716364739409,,429616,,
1716364739468,92000,,,,
1716364740352,358392,,,
1716364740385,92128,,452272,,
1716364740440,,,435504,
1716364741366,378872,,,
1716364741387,,,455856,
1716364741392,92256,,,,
1716364741407,,474460,,
1716364742368,,496732,,
1716364742387,,,480176,
1716364742408,92384,,,,
1716364742417,400504,,,
1716364743372,92512,423800,,,
1716364743394,,522972,,
1716364743404,,,511536,
1716364744356,92512,,,,
1716364744376,,,512304,
1716364744386,,566796,,
1716364744398,444440,,,
1716364745401,,566796,,
1716364745424,92768,,,,
1716364745449,,,508388,
1716364745464,473112,,,
1716364746350,,,517476,
1716364746376,518936,566924,,
1716364746380,92896,,,,
1716364747404,,572428,,
1716364747418,519192,,,
1716364747460,,,529892,
1716364747465,92896,,,,
1716364748389,93152,,,,
1716364748395,,,530020,
1716364748396,,590860,,
1716364748411,519320,,,
1716364749387,519448,,,
1716364749429,93152,,,,
1716364749437,,594464,,
1716364749462,,,543204,
1716364750352,,,546660,
1716364750365,542104,,,
1716364750372,93408,,,,
1716364750387,,595232,,
1716364751326,93536,,,,
1716364751342,,614048,,
1716364751351,542616,,,
1716364751356,,,546660,
1716364752316,559768,,,
1716364752322,93536,,,,
1716364752355,,614944,,
1716364752376,,,564196,
1716364753382,,616924,,
1716364753402,94432,,,,
1716364753421,563544,,,
1716364753449,,,566948,
1716364754378,,,570532,
1716364754399,94560,,,,
1716364754410,563928,,,
1716364754453,,617108,,
1716364755400,564056,,,
1716364755416,,,571300,
1716364755417,,618260,,
1716364755422,94560,,,,
1716364756325,567000,,,
1716364756326,94688,,,,
1716364756405,,,571812,
1716364756414,,638612,,
1716364757343,578136,,,
1716364757382,94816,,,,
1716364757391,,,577572,
1716364757422,,639380,,
1716364758337,94944,,,,
1716364758358,,645396,,
1716364758373,593752,,,
1716364758386,,,578212,
1716364759389,598360,,,
1716364759399,,,597668,
1716364759417,95072,,,,
1716364759451,,648596,,
1716364760348,95072,,,,
1716364760371,598616,,,
1716364760387,,648724,610724,
1716364761325,95200,,,,
1716364761329,599640,,,
1716364761346,,649364,610852,
1716364762339,95328,,,,
1716364762347,,649748,,
1716364762358,,,611108,
1716364762359,600040,,,
1716364763302,95328,,,,
1716364763323,600168,,,
1716364763325,,,611108,
1716364763342,,652308,,
1716364764309,95456,,,,
1716364764324,,,611236,
1716364764327,611176,,,
1716364764331,,672148,,
1716364765306,95584,,,,
1716364765317,607244,,,
1716364765318,,672148,630672,
1716364766314,95584,,,,
1716364766326,607244,,,
1716364766334,,,679184,
1716364766348,,672148,,
1716364767303,95712,,,,
1716364767331,,,736528,
1716364767344,607628,672532,,
1716364768310,95712,,,,
1716364768336,,672916,,
1716364768338,,,736528,
1716364768339,621196,,,
1716364769306,95840,,,,
1716364769313,667404,,,
1716364769324,,,730776,
1716364769332,,673684,,
1716364770306,730892,,,
1716364770318,95968,,,,
1716364770319,,,730776,
1716364770333,,723220,,
1716364771316,95968,,,,
1716364771324,,,730776,
1716364771335,,801172,,
1716364771336,730892,,,
1716364772310,96096,,,,
1716364772312,730892,,,
1716364772330,,,755480,
1716364772335,,801172,,
1716364773319,96224,,,,
1716364773321,730892,,,
1716364773348,,,755480,
1716364773357,,801172,,
1716364774346,96352,,,,
1716364774381,753036,,,
1716364774387,,801172,,
1716364774405,,,755480,
1716364775310,96480,,,,
1716364775329,,,750736,
1716364775339,753164,,,
1716364775344,,801172,,
1716364776323,753164,,,
1716364776325,96480,,,,
1716364776334,,,750864,
1716364776335,,801172,,
1716364777312,96608,,,,
1716364777329,,,751248,
1716364777331,753164,,,
1716364777332,,827028,,
1716364778300,96608,,,,
1716364778313,753164,,,
1716364778324,,,771728,
1716364778342,,827028,,
1716364779298,96736,,,,
1716364779310,753676,,,
1716364779319,,827028,,
1716364779338,,,821520,
1716364780309,96864,,,,
1716364780317,755084,,,
1716364780333,,,873104,
1716364780367,,827028,,
1716364781319,96992,,,,
1716364781338,,,917520,
1716364781343,,827028,,
1716364781360,777484,,,
1716364782329,97120,,,,
1716364782344,817804,,,
1716364782368,,,961680,
1716364782379,,827156,,
1716364783312,97248,,,,
1716364783342,,827540,,
1716364783347,,,1004176,
1716364783355,867852,,,
1716364784300,97376,,,,
1716364784313,915852,,,
1716364784332,,,1004176,
1716364784343,,837140,,
1716364785316,97504,,,,
1716364785320,960780,,,
1716364785338,,,1004176,
1716364785339,,881940,,
1716364786322,1003404,,,
1716364786332,97504,,,,
1716364786349,,924180,,
1716364786354,,,1004176,
1716364787301,97632,,,,
1716364787319,,970132,,
1716364787335,1050636,,,
1716364787339,,,1004176,
1716364788308,97760,,,,
1716364788314,1103372,,,
1716364788321,,,1004176,
1716364788325,,1022612,,
1716364789313,97888,,,,
1716364789357,,1075220,,
1716364789369,,,1004176,
1716364789373,1197452,,,
1716364790301,97888,,,,
1716364790321,,,1032208,
1716364790333,1197452,,,
1716364790339,,1152404,,
1716364791319,98016,1197452,,,
1716364791329,,,1032336,
1716364791345,,1152404,,
1716364792302,98144,,,,
1716364792320,1197452,,1032336,
1716364792339,,1152052,,
1716364793311,1197452,,,
1716364793318,,,1029152,
1716364793320,,1150164,,
1716364793341,98272,,,,
1716364794310,98400,,,,
1716364794321,1197452,,,
1716364794332,,,1028960,
1716364794334,,1150164,,
1716364795298,98400,,,,
1716364795314,1197452,,,
1716364795325,,1150164,1028960,
1716364796303,98528,,,,
1716364796314,1197452,,,
1716364796321,,,1028960,
1716364796331,,1150164,,
1716364797302,98656,,,,
1716364797310,1197452,,,
1716364797315,,,1028960,
1716364797348,,1150164,,
1716364798304,98656,,,,
1716364798310,1223308,,,
1716364798337,,1150164,,
1716364798344,,,1029088,
1716364799298,98784,,,,
1716364799308,1223308,,,
1716364799321,,1150164,,
1716364799327,,,1030240,
1716364800306,98912,,,,
1716364800310,1223308,,,
1716364800328,,,1041632,
1716364800332,,1150292,,
1716364801310,98912,,,,
1716364801311,1223308,,,
1716364801326,,1154772,,
1716364801331,,,1096416,
1716364802313,99040,,,,
1716364802317,1223308,,,
1716364802334,,1154772,,
1716364802344,,,1153504,
1716364803304,99040,,,,
1716364803327,,1154772,,
1716364803333,1223308,,,
1716364803334,,,1208416,
1716364804301,99168,,,,
1716364804313,1223308,,,
1716364804320,,,1273184,
1716364804325,,1154772,,
1716364805309,1223308,,,
1716364805332,99296,,,,
1716364805336,,,1273184,
1716364805344,,1154772,,
1716364806304,99296,,,,
1716364806326,,,1273184,
1716364806327,1223308,,,
1716364806332,,1154772,,
1716364807299,99424,,,,
1716364807318,,,1273184,
1716364807321,1223308,,,
1716364807331,,1154772,,
1716364808296,99552,,,,
1716364808321,1223564,,,
1716364808328,,,1273184,
1716364808336,,1154772,,
1716364809317,99680,,,,
1716364809320,1224204,,,
1716364809327,,1154644,,
1716364809337,,,1273184,
1716364810301,99808,,,,
1716364810325,,,1273312,
1716364810330,,1154772,,
1716364810331,1224972,,,
1716364811303,99808,,,,
1716364811317,1228428,,,
1716364811353,,1154404,,
1716364811367,,,1273312,
1716364812298,99936,,,,
1716364812313,1286424,,,
1716364812318,,,1273312,
1716364812336,,1156680,,
1716364813311,100960,,,,
1716364813319,,,1273148,
1716364813338,1286408,,,
1716364813347,,1165384,,
1716364814318,1286536,,,
1716364814329,101088,,,,
1716364814337,,1165384,,
1716364814349,,,1273916,
1716364815313,101216,,,,
1716364815319,1286792,,,
1716364815333,,1165384,,
1716364815340,,,1274044,
1716364816309,1287432,,,
1716364816310,101344,,,,
1716364816325,,1165384,,
1716364816331,,,1274044,
1716364817301,101472,,,,
1716364817313,1287432,,,
1716364817332,,1165384,,
1716364817352,,,1274044,
1716364818345,101472,,,,
1716364818359,,,1274044,
1716364818366,,1165384,,
1716364818374,1287560,,,
1716364819303,101600,,,,
1716364819331,1287560,,,
1716364819348,,,1274172,
1716364819349,,1165384,,
1716364820329,1287560,,,
1716364820346,105824,,1165384,,
1716364820352,,,1274172,
1716364821319,116352,,,,
1716364821335,1287520,,,
1716364821348,,1165448,,
1716364821363,,,1274520,
1716364822387,,,1275800,
1716364822417,118144,,1165448,,
1716364822440,1287520,,,
1716364823338,1287520,,,
1716364823347,118144,,,,
1716364823372,,,1276056,
1716364823374,,1165448,,
1716364824300,118272,,,,
1716364824314,1287520,,,
1716364824320,,,1276056,
1716364824333,,1165576,,
1716364825302,118272,,,,
1716364825326,,,1276440,
1716364825333,,1183624,,
1716364825335,1287520,,,
1716364826327,118272,,,,
1716364826377,,1315080,,
1716364826380,1287520,,,
1716364826398,,,1310232,
1716364827299,118272,,,,
1716364827329,1313504,,,
1716364827331,,,1310232,
1716364827356,,1315080,,
1716364828322,118272,,,,
1716364828338,1313504,,,
1716364828354,,1315080,,
1716364828364,,,1310232,
