Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1160.0
Domain Marker;max-jOPS;6349.0
Domain Marker;Last Success for SLAs;2913.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
75;89.66877638671055
149;91.56577078892539
224;93.10429210321581
299;93.70775216125774
373;93.82765314675615
448;94.58132963396203
523;95.1088122179928
598;94.59640075692654
672;95.73069064086263
747;95.65831303819539
822;96.11831025251087
896;95.63616184924003
971;96.04290040352076
1046;96.37296956259658
1120;96.90390797512197
1195;96.65190329878955
1270;94.51784490636797
1345;96.31747262215436
1419;95.64502580420019
1494;96.72740036897557
1569;94.59414562935478
1643;96.95396493907859
1718;95.02931581778333
1793;95.07839544857214
1867;97.38617239574688
1942;95.42081583209084
2017;95.35366089397762
2092;96.02440765339082
2166;97.24542498084739
2241;97.36071766690134
2316;95.97676678736951
2390;95.33733383509897
2465;94.88750520360256
2540;95.85082641400818
2614;95.3328528317591
2689;95.89153013005478
2764;95.42431023278063
2839;95.24791396442383
2913;95.60151799599348
2988;94.73792395933197
3063;95.91623252600412
3137;95.02119112369473
3212;95.58308624492273
3287;95.98771985861983
3361;95.53293514246393
3436;95.7409194882311
3511;93.67512934452013
3586;95.24110646579337
3660;94.77168128167871
3735;96.02412257188537
3810;95.1959948854827
3884;94.74111830917063
3959;93.30227156369088
4034;94.679430224206
4108;93.1146279930521
4183;91.62302312166808
4258;91.33076957972015
4333;94.60224883404402
4407;91.45254445609035
4482;94.54214250752892
4557;94.35724095346157
4631;89.71694206007105
4706;89.82381244597227
4781;93.07226574864795
4855;93.29390704701663
4930;93.80901249938438
5005;93.09607043265683
5080;88.19652681968736
5154;92.53164342751356
5229;85.98122462279996
5304;86.04007818125363
5378;83.05572935600165
5453;82.45122276016379
5528;81.33386059077839
5602;80.29970247504616
5677;79.58582565571292
5752;77.08439477095253
5827;56.210157749833776
5901;60.957240011108624
5976;64.85603485444015
6051;48.11152970709608
6125;28.68279870087786
6200;29.183523812183427
6275;3.622396176708059
6349;1.7517184323523152
6424;0.5686484274303888
6499;0.5244612708596592
6574;0.6483271628612773
6648;0.3717304806069066
