
===================================
Domain Marker;critical-jOPS;824.0
Domain Marker;max-jOPS;4963.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
58.0;600.0;3600.0;5700.0;6400.0;8000.0;16500.0
115.0;500.0;3900.0;6200.0;7100.0;9000.0;176000.0
173.0;500.0;4000.0;7000.0;8100.0;10587.00000000008;24000.0
231.0;400.0;4100.0;7700.0;8800.0;11400.0;173000.0
289.0;600.0;4100.0;8300.0;9600.0;12600.0;169000.0
346.0;600.0;4300.0;8900.0;10300.0;13500.0;173000.0
404.0;600.0;4300.0;9500.0;11100.0;14400.0;164000.0
462.0;500.0;5000.0;10300.0;11900.0;15600.0;191000.0
519.0;500.0;4200.0;10400.0;12100.0;15700.0;146000.0
577.0;500.0;4800.0;11500.0;14125.0;86000.0;940000.0
635.0;500.0;4400.0;11300.0;13300.0;17800.0;178000.0
693.0;600.0;4500.0;11500.0;13700.0;18900.0;189000.0
750.0;500.0;4400.0;11300.0;13400.0;18300.0;270000.0
808.0;500.0;4600.0;11400.0;13400.0;18400.0;225000.0
866.0;500.0;4400.0;11600.0;14200.0;156000.0;740000.0
923.0;600.0;3900.0;11000.0;13400.0;52000.0;278000.0
981.0;500.0;3900.0;10600.0;12900.0;23000.0;194000.0
1039.0;500.0;4500.0;11500.0;13900.0;63000.0;336000.0
1096.0;500.0;4100.0;10700.0;13000.0;28000.0;362000.0
1154.0;500.0;4100.0;10700.0;13300.0;40000.0;305000.0
1212.0;500.0;4200.0;10800.0;13500.0;84000.0;378000.0
1270.0;500.0;4300.0;10700.0;13300.0;42000.0;336000.0
1327.0;500.0;4400.0;10800.0;13300.0;57000.0;299000.0
1385.0;500.0;4500.0;11000.0;13800.0;86000.0;398000.0
1443.0;500.0;4500.0;10600.0;13100.0;31000.0;311000.0
1500.0;500.0;4700.0;11000.0;13700.0;59000.0;490000.0
1558.0;600.0;4900.0;11200.0;13900.0;42000.0;333000.0
1616.0;500.0;5000.0;11100.0;13800.0;64000.0;488000.0
1674.0;600.0;5000.0;11300.0;14600.0;76000.0;358000.0
1731.0;500.0;5000.0;11000.0;13800.0;54000.0;398000.0
