
===================================
Domain Marker;critical-jOPS;923.0
Domain Marker;max-jOPS;4778.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
56.0;600.0;3400.0;5400.0;6100.0;7700.0;12100.0
112.0;500.0;3500.0;6100.0;6900.0;8900.0;138000.0
169.0;500.0;4000.0;7000.0;8100.0;10500.0;147000.0
225.0;500.0;4000.0;7600.0;8900.0;11900.0;171000.0
281.0;500.0;4200.0;8000.0;9100.0;11600.0;146000.0
337.0;600.0;4100.0;8500.0;10100.0;13900.0;172000.0
393.0;500.0;4300.0;9200.0;10700.0;14000.0;166000.0
450.0;600.0;4300.0;9700.0;11300.0;15000.0;160000.0
506.0;500.0;4200.0;10200.0;11900.0;15600.0;182000.0
562.0;600.0;3900.0;10359.999999999854;12300.0;16900.0;170000.0
618.0;500.0;4400.0;11100.0;13100.0;18900.0;200000.0
675.0;500.0;4200.0;11100.0;13200.0;17811.00000000006;195000.0
731.0;600.0;4200.0;11100.0;13200.0;17700.0;167000.0
787.0;600.0;4100.0;11400.0;13800.0;30000.0;328000.0
843.0;600.0;4000.0;11000.0;13100.0;19086.00000000006;213000.0
899.0;600.0;4100.0;11100.0;13400.0;19900.0;246000.0
956.0;500.0;4400.0;11200.0;13200.0;19000.0;197000.0
1012.0;600.0;4100.0;11100.0;13500.0;37000.0;332000.0
1068.0;500.0;4400.0;11200.0;13600.0;31000.0;297000.0
1124.0;400.0;4400.0;11100.0;13700.0;69000.0;306000.0
1180.0;600.0;4500.0;11500.0;14100.0;57000.0;514000.0
1237.0;500.0;4700.0;11000.0;13200.0;24000.0;243000.0
1293.0;600.0;4500.0;11000.0;13400.0;38000.0;479000.0
1349.0;600.0;4400.0;10700.0;13000.0;48990.00000000524;445000.0
1405.0;500.0;4700.0;11000.0;13500.0;61000.0;351000.0
1461.0;600.0;4700.0;11000.0;13700.0;66000.0;545000.0
1518.0;500.0;4700.0;10600.0;13300.0;74000.0;466000.0
1574.0;500.0;4800.0;10800.0;13700.0;63000.0;390000.0
1630.0;500.0;4800.0;10700.0;13285.000000000582;65000.0;334000.0
1686.0;500.0;4900.0;11000.0;13900.0;53000.0;377000.0
1743.0;500.0;5000.0;11000.0;13700.0;92000.0;522000.0
1799.0;500.0;5000.0;11300.0;14900.0;83000.0;401000.0
1855.0;600.0;5200.0;11200.0;14400.0;60000.0;381000.0
1911.0;500.0;5100.0;11300.0;15300.0;91000.0;438000.0
1967.0;600.0;5200.0;11100.0;13900.0;130000.0;549000.0
2024.0;500.0;5300.0;11300.0;15200.0;85000.0;390000.0
2080.0;500.0;5300.0;11800.0;18100.0;142000.0;560000.0
2136.0;500.0;5400.0;11600.0;17100.0;96000.0;436000.0
2192.0;400.0;5500.0;11700.0;16400.0;107000.0;600000.0
