Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1256.0
Domain Marker;max-jOPS;5514.0
Domain Marker;Last Success for SLAs;2892.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
67;88.7430421650168
134;91.33739334470941
202;92.91757356229905
269;93.40635738790381
336;94.49565760424215
403;94.53437436726817
471;95.58992121829142
538;95.10758584485804
605;95.39584852668287
672;95.61349944083909
740;96.14987132455745
807;95.64941913547497
874;95.96617213242439
941;96.08406825230156
1009;96.44021193240874
1076;96.15131068441075
1143;95.95100072547986
1210;96.6206377605389
1278;96.90583401614046
1345;96.62844604177664
1412;96.73093617741674
1479;97.06639424776947
1547;96.83466528434465
1614;96.95504976147129
1681;96.86257592422143
1748;96.56714432427746
1816;96.94788749275557
1883;97.4016538322269
1950;96.97945525122151
2017;97.17517112935991
2085;96.84113447279123
2152;97.20260056525977
2219;97.28995352527426
2286;96.92100579893129
2354;97.41281903713208
2421;96.8183339527623
2488;97.51930803116126
2555;97.11348282019618
2623;97.17634758688779
2690;97.43754562139402
2757;97.86346267701438
2824;97.07974227142194
2892;96.86603115715242
2959;96.76301055036691
3026;96.77220921318671
3093;97.25199617143363
3161;97.31809828235389
3228;97.4962578971865
3295;96.78557633671727
3362;97.61114194196912
3430;97.09147341083562
3497;97.07496163955454
3564;97.18604671545977
3631;97.34129852124815
3699;97.24258345340772
3766;97.14167675345416
3833;97.4479947018679
3900;96.97349812099209
3968;97.39365253587171
4035;96.94707384747977
4102;97.16257366687928
4169;96.81393830220577
4237;96.79569556202337
4304;95.83628335300747
4371;95.88000127410379
4438;95.11522812093271
4506;94.19772845688581
4573;94.96355520046717
4640;93.93240116477443
4707;91.56342863854418
4775;90.2230293942797
4842;89.0636034223131
4909;88.89791725338931
4976;88.05200203086123
5044;86.25817185625529
5111;84.22446433560897
5178;84.54112760563196
5245;79.79505848579294
5313;76.74717733526289
5380;75.84084038571964
5447;71.76353995203488
5514;67.20435912500797
5582;29.78469817551686
5649;39.02493690932729
5716;40.954784422979216
5783;20.88054013537171
