
===================================
Domain Marker;critical-jOPS;1361.0
Domain Marker;max-jOPS;5783.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
67.0;600.0;3600.0;5600.0;6200.0;7700.0;15400.0
134.0;600.0;3700.0;6000.0;6900.0;8700.0;120000.0
202.0;600.0;4000.0;6800.0;7800.0;9900.0;113000.0
269.0;500.0;4200.0;7500.0;8600.0;10800.0;131000.0
336.0;500.0;4700.0;8300.0;9500.0;12500.0;178000.0
403.0;500.0;4900.0;9200.0;10600.0;13600.0;146000.0
471.0;600.0;5000.0;9800.0;11300.0;14600.0;164000.0
538.0;600.0;5000.0;10900.0;13100.0;200000.0;1400000.0
605.0;600.0;5300.0;10900.0;12500.0;15500.0;163000.0
672.0;500.0;5200.0;11300.0;13000.0;16400.0;152000.0
740.0;500.0;4900.0;11300.0;13100.0;16700.0;136000.0
807.0;500.0;5100.0;11700.0;13800.0;18700.0;201000.0
874.0;600.0;5100.0;11600.0;13500.0;17200.0;133000.0
941.0;500.0;4800.0;11400.0;13400.0;18300.0;239000.0
1009.0;500.0;5100.0;11500.0;13400.0;17700.0;169000.0
1076.0;500.0;4900.0;11400.0;13400.0;17600.0;162000.0
1143.0;500.0;5100.0;11500.0;13400.0;17800.0;163000.0
1210.0;400.0;5100.0;11300.0;13300.0;18000.0;172000.0
1278.0;400.0;5000.0;11400.0;13500.0;26000.0;208000.0
1345.0;500.0;5100.0;11400.0;13500.0;24000.0;210000.0
1412.0;500.0;4900.0;11100.0;13100.0;22000.0;165000.0
1479.0;500.0;5000.0;11100.0;13200.0;21000.0;190000.0
1547.0;500.0;5000.0;11100.0;13200.0;26000.0;230000.0
1614.0;500.0;5100.0;11400.0;13700.0;29000.0;223000.0
1681.0;500.0;4900.0;10700.0;12800.0;24000.0;191000.0
1748.0;400.0;5100.0;10900.0;13300.0;33000.0;230000.0
1816.0;500.0;5300.0;11300.0;13600.0;37000.0;334000.0
1883.0;500.0;5300.0;11100.0;13400.0;35000.0;227000.0
1950.0;500.0;5200.0;11000.0;13300.0;49000.0;250000.0
2017.0;500.0;5400.0;11300.0;13800.0;52000.0;252000.0
2085.0;500.0;5400.0;11100.0;13600.0;47000.0;302000.0
2152.0;400.0;5400.0;11300.0;13900.0;40000.0;233000.0
2219.0;500.0;5500.0;11500.0;14800.0;67000.0;266000.0
2286.0;400.0;5300.0;11200.0;14200.0;57000.0;353000.0
