Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1455.0
Domain Marker;max-jOPS;5716.0
Domain Marker;Last Success for SLAs;2959.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
67;90.19450605933811
134;91.2649619312155
202;92.65694728214189
269;93.13221243761866
336;94.16886757951896
403;94.49117118797884
471;94.88989155706321
538;94.86469259328791
605;95.43257347726636
672;95.84051978244509
740;95.86352752052956
807;95.79932557713272
874;96.16248047291758
941;96.13212573033228
1009;96.2367254589676
1076;96.25738944836283
1143;96.44828235188763
1210;96.50468539737207
1278;96.87627915740836
1345;96.60756006427975
1412;96.60281564040238
1479;96.78730650175834
1547;96.46221037787437
1614;96.59498478951016
1681;96.96445454060259
1748;96.35651593988334
1816;97.08962678859307
1883;97.60714930762252
1950;96.8727880341704
2017;97.29297606419648
2085;96.80644914203785
2152;97.06665329881334
2219;97.17646281789587
2286;96.94422196556452
2354;97.55489104222505
2421;97.10418550763717
2488;97.19257928750349
2555;97.60231639096236
2623;97.2626982896323
2690;97.4968829635426
2757;97.30139652216464
2824;97.57149562741189
2892;97.17192045125825
2959;97.53100211587854
3026;97.06529726112952
3093;97.09963175716132
3161;97.33432352018487
3228;97.57028499148936
3295;96.99841419884484
3362;97.92588037466177
3430;97.58982356255048
3497;97.74934254967944
3564;96.57549798482773
3631;96.99341240779368
3699;97.43335118094404
3766;97.74620816326717
3833;96.74301869300545
3900;96.97763502589734
3968;97.11809116467562
4035;96.50893270411898
4102;96.558083337571
4169;96.68459013266772
4237;96.79166658352293
4304;95.70861880687897
4371;95.73495920582496
4438;95.50521111297118
4506;95.68381099937295
4573;95.28977117018734
4640;94.2897046366699
4707;92.57263272606754
4775;90.92707771030047
4842;91.67746456258665
4909;89.96793651312355
4976;87.63880478561745
5044;89.255744093189
5111;85.75347864915247
5178;85.19348190089559
5245;79.11247068803365
5313;81.61238208437307
5380;71.11669908352872
5447;70.06013201090457
5514;52.15479305325621
5582;42.53619229846011
5649;10.8554381259661
5716;7.79372621214123
5783;21.059625951163373
5851;1.9424098680290445
5918;2.2141162926346687
5985;1.631185313840497
