MemTotal:       16380096 kB
MemFree:        15341280 kB
MemAvailable:   15473252 kB
Buffers:           33860 kB
Cached:           349368 kB
SwapCached:            0 kB
Active:           145976 kB
Inactive:         656324 kB
Active(anon):       1752 kB
Inactive(anon):   434972 kB
Active(file):     144224 kB
Inactive(file):   221352 kB
Unevictable:        5468 kB
Mlocked:            5468 kB
SwapTotal:       8388604 kB
SwapFree:        8388604 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                40 kB
Writeback:             0 kB
AnonPages:        424956 kB
Mapped:           209332 kB
Shmem:             12700 kB
KReclaimable:      38824 kB
Slab:             101564 kB
SReclaimable:      38824 kB
SUnreclaim:        62740 kB
KernelStack:        7336 kB
PageTables:        13576 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16578652 kB
Committed_AS:    3058472 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       54388 kB
VmallocChunk:          0 kB
Percpu:             6880 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      132972 kB
DirectMap2M:     4061184 kB
DirectMap1G:    14680064 kB
