"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,286.048064,18.749990,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,553.348128,20.227642,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,577.582214,7.971648,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,48.176227,0.524438,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,2063.817388,27.502319,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,7421.843133,196.581647,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,601.153764,15.307684,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,213.007071,2.904870,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,63.220109,0.767776,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,465.848968,12.709456,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.630260,0.068475,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,978.278199,16.915701,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3210.684187,62.348357,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,48.922793,1.716707,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,227.216305,0.822615,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,35.484519,1.885234,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,344.939517,2.741860,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,9366.860557,224.690987,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,124.344309,2.204361,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,451.296197,22.633047,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,1104.262898,32.630075,"ops/min"
