"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,232.098099,6.580570,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,544.445969,18.527407,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,560.374199,13.959065,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,45.727901,2.483793,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,2013.033843,51.345820,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,9148.167430,158.390960,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,558.906475,12.430206,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,207.904269,1.715035,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,61.930626,1.394783,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,473.958076,8.380759,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.541640,0.162898,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,956.940181,26.548894,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3195.795594,67.639325,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,53.047725,0.881064,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,246.627630,5.767260,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,34.601574,0.280180,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,345.540951,4.332168,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,8964.790669,281.615750,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,124.575174,2.249801,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,431.215778,26.073910,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,974.017694,15.592240,"ops/min"
