"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,234.629904,5.503623,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,520.591099,23.124221,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,563.638167,5.738835,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,46.784265,0.413187,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,2116.323552,49.650357,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,9920.791776,463.187924,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,553.858416,11.889386,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,214.924521,2.564430,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,61.964927,0.809852,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,414.292882,10.572061,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.399980,0.084799,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,784.429580,8.662663,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3308.094279,12.846208,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,52.948861,0.174014,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,245.156349,0.296799,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,34.761635,0.166249,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,276.571373,1.495543,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,9012.924397,311.878373,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,125.129165,3.367737,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,399.648895,16.627268,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,995.178962,8.207124,"ops/min"
