Timestamp,Slave 0,Slave 1,Slave 2,
1674145298738,116300,,,,
1674145298750,591028,,,
1674145298764,,,621612,
1674145298789,,615544,,
1674145299718,116300,,,,
1674145299743,,619208,,
1674145299758,593560,,,
1674145299831,,,625828,
1674145300752,116300,,,,
1674145300762,606868,,,
1674145300763,,,637548,
1674145300769,,630924,,
1674145301736,116300,,,,
1674145301746,,640056,,
1674145301762,618700,,,
1674145301767,,,639364,
1674145302713,,659344,,
1674145302737,647032,,,
1674145302739,116300,,,,
1674145302745,,,659096,
1674145303725,,659728,,
1674145303743,116352,,,,
1674145303755,,,659592,
1674145303756,653908,,,
1674145304726,656732,,,
1674145304742,116352,,,,
1674145304744,,660784,,
1674145304764,,,664088,
1674145305732,116516,,,,
1674145305747,,660952,,
1674145305767,662620,,,
1674145305781,,,664560,
1674145306755,,661380,,
1674145306781,,,664984,
1674145306785,116604,,,,
1674145306792,663920,,,
1674145307709,116604,,,,
1674145307732,,,670816,
1674145307735,664800,,,
1674145307738,,666508,,
1674145308702,116604,,,,
1674145308703,,667860,,
1674145308711,665836,,,
1674145308714,,,671992,
1674145309708,116696,,,,
1674145309709,,668488,,
1674145309711,667300,,,
1674145309722,,,672356,
1674145310730,,669320,,
1674145310749,116828,667412,,,
1674145310752,,,673080,
1674145311704,,669448,,
1674145311706,116828,,,,
1674145311710,,,673080,
1674145311712,667412,,,
1674145312700,116828,,669448,,
1674145312707,667412,,,
1674145312708,,,673080,
1674145313710,667704,670340,,
1674145313741,116828,,,,
1674145313757,,,707516,
1674145314700,,704924,,
1674145314701,116828,,,,
1674145314716,696480,,,
1674145314721,,,707516,
1674145315698,116828,,,,
1674145315702,,704924,707516,
1674145315703,696480,,,
1674145316695,117036,,,,
1674145316704,,,707724,
1674145316705,,704924,,
1674145316706,696480,,,
1674145317694,117048,,,,
1674145317722,,704924,,
1674145317725,696480,,,
1674145317729,,,707724,
1674145318697,117048,,,,
1674145318705,696480,,707724,
1674145318708,,705188,,
1674145319693,117048,,,,
1674145319701,,,707724,
1674145319702,696480,,,
1674145319703,,705188,,
1674145320697,117288,,,,
1674145320702,,,710020,
1674145320703,696688,,,
1674145320717,,705188,,
1674145321704,696688,,,
1674145321705,,705188,,
1674145321706,,,710020,
1674145321707,117292,,,,
1674145322695,117292,,,,
1674145322698,,705452,,
1674145322705,,,728360,
1674145322710,696688,,,
1674145323702,117292,709316,,,
1674145323707,,,728360,
1674145323712,,716180,,
1674145324701,117292,709476,,,
1674145324711,,716180,,
1674145324712,,,746204,
1674145325696,117292,,,,
1674145325713,,723044,,
1674145325714,,,746204,
1674145325724,709476,,,
1674145326699,,723044,,
1674145326701,117292,,,,
1674145326710,726372,,,
1674145326716,,,770156,
1674145327694,117292,,,,
1674145327713,,,770156,
1674145327714,726436,,,
1674145327722,,730436,,
1674145328692,117292,,,,
1674145328702,,,770244,
1674145328704,749140,,,
1674145328713,,730436,,
1674145329693,117292,,,,
1674145329703,749140,,,
1674145329705,,,784232,
1674145329708,,730436,,
1674145330693,117292,,,,
1674145330703,762428,730436,784232,
1674145331698,117292,,,,
1674145331706,,,798696,
1674145331712,762428,,,
1674145331717,,730436,,
1674145332694,117292,,,,
1674145332712,,730436,798696,
1674145332713,762428,,,
1674145333692,117292,,,,
1674145333700,776156,,,
1674145333703,,,812464,
1674145333707,,730436,,
1674145334695,117292,,,,
1674145334706,,,812464,
1674145334708,776156,730436,,
1674145335711,,730436,,
1674145335713,117292,,,,
1674145335717,789356,,,
1674145335724,,,826964,
1674145336693,117292,,,,
1674145336702,789356,730436,,
1674145336712,,,826964,
1674145337692,117292,,,,
1674145337708,,,826964,
1674145337711,,730436,,
1674145337719,802820,,,
1674145338698,,730436,,
1674145338701,117292,,,,
1674145338706,,,842640,
1674145338714,802820,,,
1674145339704,802820,,,
1674145339708,117292,,,,
1674145339718,,730436,,
1674145339729,,,842640,
1674145340701,,,857736,
1674145340703,,730436,,
1674145340709,803036,,,
1674145340710,117292,,,,
1674145341695,117292,,,,
1674145341702,,,857736,
1674145341703,,730436,,
1674145341704,803036,,,
1674145342697,117292,,,,
1674145342709,803300,,,
1674145342710,,,857736,
1674145342719,,730700,,
1674145343719,,,872304,
1674145343727,117292,,,,
1674145343729,803300,,,
1674145343730,,730700,,
1674145344697,117292,,,,
1674145344703,,,872304,
1674145344707,,730700,,
1674145344708,803300,,,
1674145345691,117292,,,,
1674145345700,803300,,,
1674145345712,,730700,,
1674145345716,,,887832,
1674145346694,117292,,,,
1674145346702,803300,,,
1674145346704,,730700,,
1674145346705,,,887832,
1674145347704,117292,,,,
1674145347716,803300,,,
1674145347721,,,887832,
1674145347727,,730700,,
1674145348692,117408,,,,
1674145348707,,730700,,
1674145348711,,,903124,
1674145348720,803300,,,
1674145349700,117408,,,,
1674145349706,803300,,903124,
1674145349717,,730700,,
1674145350697,117408,,,,
1674145350706,,730964,,
1674145350709,,,918604,
1674145350710,803300,,,
1674145351698,117408,,,,
1674145351706,,730964,,
1674145351709,803300,,,
1674145351717,,,918604,
1674145352699,117408,,,,
1674145352705,,730964,,
1674145352708,803320,,918604,
1674145353696,117408,,,,
1674145353703,,730964,,
1674145353710,803584,,,
1674145353713,,,934036,
1674145354696,117500,,,,
1674145354704,,730964,,
1674145354707,,,934036,
1674145354717,803584,,,
1674145355699,117500,,,,
1674145355709,803584,730964,934036,
1674145356693,117500,,,,
1674145356697,,730964,,
1674145356703,803848,,,
1674145356704,,,950464,
1674145357691,117500,,,,
1674145357706,,,950464,
1674145357709,,730964,,
1674145357722,803848,,,
1674145358691,117500,,,,
1674145358701,805432,,,
1674145358703,,731492,,
1674145358708,,,951024,
1674145359709,117500,,,,
1674145359711,805432,,,
1674145359715,,731492,,
1674145359716,,,967220,
1674145360706,117716,,,,
1674145360717,,731948,,
1674145360718,,,967220,
1674145360739,805432,,,
1674145361707,117716,,,,
1674145361708,807016,,,
1674145361718,,731948,983396,
1674145362699,117716,,,,
1674145362705,,731992,,
1674145362714,807016,,983400,
1674145363716,808864,,,
1674145363720,117716,,,,
1674145363723,,732544,,
1674145363731,,,983400,
1674145364705,,,1000188,
1674145364706,117968,808864,,,
1674145364708,,732544,,
1674145365694,117996,,,,
1674145365698,,732544,,
1674145365707,,,1000188,
1674145365708,810448,,,
1674145366695,117996,,,,
1674145366699,,732544,,
1674145366702,810808,,1000188,
1674145367697,118256,,,,
1674145367705,810972,,,
1674145367706,,732544,,
1674145367708,,,1016972,
1674145368692,118256,,,,
1674145368698,,734836,,
1674145368699,,,1017312,
1674145368713,812612,,,
1674145369702,,734860,,
1674145369707,118256,,,,
1674145369714,,,1017332,
1674145369719,812976,,,
1674145370690,118660,,,,
1674145370700,821348,,,
1674145370708,,738640,,
1674145370710,,,1046348,
1674145371692,118920,,,,
1674145371711,,,1046348,
1674145371712,821348,,,
1674145371714,,738640,,
1674145372696,118920,,,,
1674145372706,,,1046740,
1674145372710,,739068,,
1674145372722,821508,,,
1674145373695,118920,,,,
1674145373699,,739068,,
1674145373705,,,1046740,
1674145373724,821508,,,
1674145374701,133380,,,,
1674145374710,,,1047280,
1674145374712,822212,,,
1674145374721,,739736,,
1674145375700,133380,,,,
1674145375706,,740156,,
1674145375710,822624,,,
1674145375713,,,1047280,
1674145376692,126976,,,,
1674145376703,,740156,,
1674145376710,,,1047808,
1674145376716,822624,,,
1674145377695,126976,,,,
1674145377701,,,1047808,
1674145377705,822884,,,
1674145377708,,740584,,
1674145378694,126976,,,,
1674145378704,822884,,,
1674145378737,,740584,,
1674145378740,,,1048008,
1674145379694,126976,,,,
1674145379714,,,1048008,
1674145379715,822884,,,
1674145379727,,740584,,
1674145380696,126976,,,,
1674145380705,,740848,,
1674145380711,,,1048008,
1674145380718,823148,,,
1674145381697,126976,,,,
1674145381700,,740848,,
1674145381703,823360,,,
1674145381704,,,1048008,
1674145382691,126976,,,,
1674145382699,,,1048008,
1674145382702,,740848,,
1674145382704,823360,,,
1674145383705,,741112,,
1674145383710,126992,,,,
1674145383723,823360,,,
1674145383727,,,1048008,
1674145384694,126992,,,,
1674145384705,,,1048008,
1674145384709,823888,741112,,
1674145385693,126992,,,,
1674145385703,,741376,,
1674145385705,,,1048008,
1674145385712,823888,,,
1674145386703,126992,,,,
