Timestamp,Slave 0,Slave 1,Slave 2,
1674149970822,0,,,,
1674149970828,0,0,,
1674149970833,,,0,
1674149970846,1.8161497625034925E-4,,,,
1674149970863,0.006988591831402944,,,
1674149970867,,,0.008286932312510875,
1674149970898,,0.007093275488069414,,
1674149971823,0.0,,,,
1674149971829,0.0,0.0,,
1674149971833,,,0.0,
1674149972823,0.0,,,,
1674149972829,0.0,0.0,,
1674149972833,,,0.0,
1674149973823,0.0,,,,
1674149973829,,0.0,,
1674149973833,0.0,,,
1674149973834,,,0.0,
1674149974823,0.0,,,,
1674149974829,,0.0045,,
1674149974831,0.0,,,
1674149974833,,,0.0025,
1674149975823,0.0,,,,
1674149975829,0.004513540621865597,0.0,,
1674149975834,,,0.0,
1674149976823,0.0,,,,
1674149976829,,0.0,,
1674149976830,0.0,,,
1674149976834,,,0.0,
1674149977823,0.0,,,,
1674149977829,,0.0,,
1674149977830,0.0,,,
1674149977834,,,0.0,
1674149978823,0.0,,,,
1674149978829,0.0,0.0,,
1674149978833,,,0.0,
1674149979823,0.0,,,,
1674149979829,0.0,0.0,,
1674149979833,,,0.0,
1674149980823,0.0,,,,
1674149980829,0.005994005994005994,0.00625,,
1674149980834,,,0.00575,
1674149981823,0.0,,,,
1674149981828,,0.0,,
1674149981829,0.0,,,
1674149981833,,,0.0,
1674149982823,0.0,,,,
1674149982829,,0.0,,
1674149982830,0.0,,,
1674149982833,,,0.0,
1674149983823,0.0,,,,
1674149983829,0.0,0.0,,
1674149983834,,,0.0,
1674149984822,0.0,,,,
1674149984829,0.0,0.0,,
1674149984833,,,0.0,
1674149985826,0.0,,,,
1674149985833,,0.0057213930348258705,,
1674149985836,,,0.006729810568295114,
1674149985841,0.005681818181818182,,,
1674149986823,0.0,,,,
1674149986829,0.0,0.0,,
1674149986834,,,0.0,
1674149987823,0.0,,,,
1674149987829,0.0,0.0,,
1674149987833,,,0.0,
1674149988823,0.0,,,,
1674149988829,0.0,0.0,,
1674149988833,,,0.0,
1674149989823,0.0,,,,
1674149989829,0.004,0.004254254254254255,,
1674149989833,,,0.004,
1674149990822,0.0,,,,
1674149990828,,0.0,,
1674149990829,0.0,,,
1674149990833,,,0.0,
1674149991824,0.0,,,,
1674149991828,,0.00425,,
1674149991829,0.0,,,
1674149991833,,,0.004,
1674149992822,0.0,,,,
1674149992828,,0.0,,
1674149992829,0.004,,,
1674149992833,,,0.0,
1674149993822,0.0,,,,
1674149993828,,0.0045,,
1674149993829,0.0,,,
1674149993833,,,0.0,
1674149994822,0.0,,,,
1674149994828,,0.0,,
1674149994829,0.004245754245754246,,,
1674149994833,,,0.00475,
1674149995823,0.0,,,,
1674149995828,,0.0,,
1674149995829,0.0,,,
1674149995833,,,0.0,
1674149996822,0.0,,,,
1674149996829,0.0,,,
1674149996830,,0.00499001996007984,,
1674149996833,,,0.00425,
1674149997822,0.0,,,,
1674149997829,,0.0,,
1674149997830,0.004995004995004995,,,
1674149997833,,,0.0,
1674149998822,0.0,,,,
1674149998828,,0.005,,
1674149998829,0.0,,,
1674149998833,,,0.0,
1674149999822,0.0,,,,
1674149999828,,0.0,,
1674149999829,0.005494505494505495,,,
1674149999833,,,0.00425,
1674150000822,0.0,,,,
1674150000829,0.0,0.0,,
1674150000833,,,0.0,
1674150001823,0.0,,,,
1674150001828,,0.00475,,
1674150001829,0.0,,,
1674150001833,,,0.0045,
1674150002822,0.0,,,,
1674150002829,0.00475,0.0,,
1674150002833,,,0.0,
1674150003822,0.0,,,,
