Timestamp,Slave 0,Slave 1,Slave 2,
1723638354052,0,,,,
1723638354058,0.017573013924703455,,,,
1723638354060,0,,,
1723638354062,,,0,
1723638354065,,0,,
1723638354067,,,0.14450521527840043,
1723638354072,,0.13995937139272271,,
1723638354074,0.1342833243412798,,,
1723638355053,0.010050251256281407,,,,
1723638355061,0.303951367781155,,,
1723638355063,,,0.287817937751004,
1723638355066,,0.29510395674044265,,
1723638356053,0.001666666,,,,
1723638356061,0.325,,,
1723638356063,,,0.316666666,
1723638356066,,0.29,,
1723638357053,0.0,,,,
1723638357061,0.323333333,,,
1723638357063,,,0.325,
1723638357066,,0.286666666,,
1723638358053,0.0,,,,
1723638358061,0.298333333,,,
1723638358063,,,0.336666666,
1723638358066,,0.305,,
1723638359053,0.001666666,,,,
1723638359061,0.188333333,,,
1723638359063,,,0.365,
1723638359066,,0.276666666,,
1723638360053,0.0,,,,
1723638360061,0.208333333,,,
1723638360063,,,0.251666666,
1723638360066,,0.21,,
1723638361053,0.001666666,,,,
1723638361061,0.206666666,,,
1723638361063,,,0.211666666,
1723638361066,,0.191666666,,
1723638362053,0.0,,,,
1723638362061,0.198333333,,,
1723638362063,,,0.195,
1723638362067,,0.1998001998001998,,
1723638363053,0.003333333,,,,
1723638363061,0.231666666,,,
1723638363063,,,0.216666666,
1723638363066,,0.2285618948948949,,
1723638364053,0.006666666,,,,
1723638364061,0.295,,,
1723638364063,,,0.265,
1723638364067,,0.3143712574850299,,
1723638365053,0.001666666,,,,
1723638365061,0.275,,,
1723638365063,,,0.325,
1723638365066,,0.2755511022044088,,
1723638366053,0.001666666,,,,
1723638366061,0.268333333,,,
1723638366063,,,0.218333333,
1723638366066,,0.253333333,,
1723638367053,0.0,,,,
1723638367061,0.218333333,,,
1723638367063,,,0.21,
1723638367066,,0.193333333,,
1723638368053,0.0,,,,
1723638368061,0.196666666,,,
1723638368063,,,0.173333333,
1723638368066,,0.248333333,,
1723638369053,0.001666666,,,,
1723638369061,0.175,,,
1723638369063,,,0.19,
1723638369066,,0.16650016583416583,,
1723638370053,0.001666666,,,,
1723638370061,0.176666666,,,
1723638370063,,,0.175,
1723638370066,,0.17851184484484484,,
1723638371053,0.0,,,,
1723638371061,0.178333333,,,
1723638371063,,,0.178333333,
1723638371066,,0.165,,
1723638372053,0.001666666,,,,
1723638372061,0.195,,,
1723638372063,,,0.168333333,
1723638372066,,0.178333333,,
1723638373053,0.001666666,,,,
1723638373061,0.181666666,,,
1723638373063,,,0.181666666,
1723638373066,,0.168333333,,
1723638374053,0.0,,,,
1723638374061,0.18,,,
1723638374063,,,0.165,
1723638374066,,0.173333333,,
1723638375053,0.001666666,,,,
1723638375061,0.191666666,,,
1723638375063,,,0.166666666,
1723638375066,,0.19,,
1723638376053,0.0,,,,
1723638376061,0.158333333,,,
1723638376063,,,0.178333333,
1723638376066,,0.163333333,,
1723638377053,0.001666666,,,,
1723638377061,0.17,,,
1723638377063,,,0.165,
1723638377066,,0.166666666,,
1723638378053,0.0,,,,
1723638378061,0.183333333,,,
1723638378063,,,0.163333333,
1723638378066,,0.181666666,,
1723638379053,0.001666666,,,,
1723638379061,0.171666666,,,
1723638379063,,,0.18,
1723638379066,,0.163333333,,
1723638380053,0.0,,,,
1723638380061,0.181666666,,,
1723638380063,,,0.166666666,
1723638380066,,0.171666666,,
1723638381053,0.001666666,,,,
1723638381061,0.186666666,,,
1723638381063,,,0.163333333,
1723638381066,,0.171666666,,
1723638382053,0.001666666,,,,
1723638382061,0.161666666,,,
1723638382063,,,0.168333333,
1723638382066,,0.165,,
1723638383053,0.0,,,,
1723638383061,0.176666666,,,
1723638383063,,,0.17,
1723638383066,,0.176666666,,
1723638384053,0.001666666,,,,
1723638384061,0.175,,,
1723638384063,,,0.163333333,
1723638384066,,0.183333333,,
1723638385053,0.0,,,,
1723638385061,0.173333333,,,
1723638385063,,,0.185,
1723638385066,,0.168333333,,
1723638386053,0.001666666,,,,
1723638386061,0.18,,,
1723638386063,,,0.173333333,
1723638386066,,0.193333333,,
1723638387053,0.0,,,,
1723638387061,0.191666666,,,
1723638387063,,,0.155,
1723638387066,,0.186666666,,
1723638388053,0.001666666,,,,
1723638388061,0.168333333,,,
1723638388063,,,0.181666666,
1723638388066,,0.16,,
1723638389053,0.0,,,,
1723638389067,,0.18130405788423154,,
1723638389068,,,0.16583747860696518,
1723638389087,0.19149626679649465,,,
1723638390053,0.0,,,,
1723638390061,0.17129153751284687,,,
1723638390063,,,0.16917922914572864,
1723638390066,,0.17702070741482967,,
1723638391053,0.0,,,,
1723638391061,0.168333333,,,
1723638391063,,,0.193333333,
1723638391066,,0.173333333,,
1723638392053,0.001666666,,,,
1723638392061,0.176666666,,,
1723638392063,,,0.17,
1723638392066,,0.168333333,,
1723638393053,0.0,,,,
1723638393061,0.183333333,,,
1723638393063,,,0.153333333,
1723638393066,,0.183333333,,
1723638394053,0.0,,,,
1723638394061,0.176666666,,,
1723638394063,,,0.193333333,
1723638394066,,0.175,,
1723638395053,0.001666666,,,,
1723638395061,0.178333333,,,
1723638395063,,,0.173333333,
1723638395066,,0.178333333,,
1723638396053,0.0,,,,
1723638396061,0.183333333,,,
1723638396063,,,0.168333333,
1723638396066,,0.193333333,,
1723638397053,0.0,,,,
1723638397061,0.17,,,
1723638397063,,,0.173333333,
1723638397066,,0.176666666,,
1723638398053,0.0,,,,
1723638398061,0.173333333,,,
1723638398063,,,0.185,
1723638398066,,0.181666666,,
1723638399053,0.001666666,,,,
1723638399061,0.176666666,,,
1723638399063,,,0.151666666,
1723638399066,,0.175,,
1723638400053,0.001666666,,,,
1723638400061,0.166666666,,,
1723638400063,,,0.163333333,
1723638400066,,0.171666666,,
1723638401053,0.0,,,,
1723638401061,0.171666666,,,
1723638401063,,,0.18,
1723638401066,,0.16,,
1723638402053,0.0,,,,
1723638402061,0.181666666,,,
1723638402063,,,0.161666666,
1723638402066,,0.18,,
1723638403053,0.0,,,,
1723638403061,0.175,,,
1723638403063,,,0.17,
1723638403066,,0.17,,
1723638404053,0.001666666,,,,
1723638404061,0.18,,,
1723638404063,,,0.183333333,
1723638404066,,0.175,,
1723638405053,0.0,,,,
1723638405061,0.178333333,,,
1723638405063,,,0.153333333,
1723638405066,,0.188333333,,
1723638406053,0.001666666,,,,
1723638406061,0.166666666,,,
1723638406063,,,0.17,
1723638406066,,0.19,,
1723638407053,0.001666666,,,,
1723638407061,0.166666666,,,
1723638407063,,,0.183333333,
1723638407066,,0.173333333,,
1723638408053,0.0,,,,
1723638408061,0.183333333,,,
1723638408063,,,0.161666666,
1723638408066,,0.178333333,,
1723638409053,0.0,,,,
1723638409061,0.173333333,,,
1723638409065,,,0.166333998003992,
1723638409066,,0.17,,
1723638410053,0.003333333,,,,
1723638410061,0.163333333,,,
1723638410063,,,0.18871075450901803,
1723638410066,,0.161666666,,
1723638411053,0.0,,,,
1723638411061,0.165,,,
1723638411065,,,0.18795741816367265,
1723638411066,,0.183333333,,
1723638412053,0.0,,,,
1723638412061,0.183333333,,,
1723638412063,,,0.15531062124248496,
1723638412066,,0.168333333,,
1723638413053,0.0,,,,
1723638413061,0.178333333,,,
1723638413063,,,0.175,
1723638413066,,0.181666666,,
1723638414053,0.0,,,,
1723638414061,0.161666666,,,
1723638414063,,,0.183333333,
1723638414066,,0.186666666,,
1723638415053,0.001666666,,,,
1723638415061,0.193333333,,,
1723638415063,,,0.178333333,
1723638415066,,0.171666666,,
1723638416053,0.0,,,,
1723638416061,0.19,,,
1723638416063,,,0.171666666,
1723638416066,,0.18,,
1723638417053,0.0,,,,
1723638417061,0.17,,,
1723638417063,,,0.176666666,
1723638417076,,0.1848184811881188,,
1723638418053,0.001666666,,,,
1723638418061,0.195,,,
1723638418063,,,0.168333333,
1723638418066,,0.16666666666666666,,
1723638419053,0.015,,,,
1723638419061,0.183333333,,,
1723638419063,,,0.17,
1723638419066,,0.171666666,,
1723638420053,0.0,,,,
1723638420061,0.17,,,
1723638420063,,,0.188333333,
1723638420066,,0.163333333,,
1723638421053,0.001666666,,,,
1723638421061,0.176666666,,,
1723638421063,,,0.168333333,
1723638421066,,0.181666666,,
1723638422053,0.0,,,,
1723638422061,0.181666666,,,
1723638422063,,,0.173333333,
1723638422066,,0.175,,
1723638423053,0.0,,,,
1723638423061,0.185,,,
1723638423063,,,0.176666666,
1723638423066,,0.178333333,,
1723638424053,0.006666666,,,,
1723638424061,0.245,,,
1723638424063,,,0.2081252077922078,
1723638424066,,0.216666666,,
1723638425053,0.0,,,,
1723638425061,0.21,,,
1723638425063,,,0.18518518518518517,
1723638425066,,0.183333333,,
1723638426053,0.0,,,,
1723638426061,0.183333333,,,
1723638426063,,,0.176666666,
1723638426066,,0.173333333,,
1723638427053,0.001666666,,,,
1723638427061,0.19,,,
1723638427063,,,0.178333333,
1723638427066,,0.183333333,,
1723638428053,0.0,,,,
1723638428061,0.181666666,,,
1723638428063,,,0.173333333,
1723638428066,,0.193333333,,
1723638429055,0.0665335988023952,,,,
1723638429061,0.18648018581418582,,,
1723638429063,,,0.185,
1723638429075,,0.18334985133795836,,
1723638430053,0.0016700060120240481,,,,
1723638430061,0.21187854454454455,,,
1723638430063,,,0.196666666,
1723638430066,,0.2472250252270434,,
1723638431053,0.0,,,,
1723638431061,0.183333333,,,
1723638431063,,,0.195,
1723638431066,,0.19,,
