Timestamp,Slave 0,Slave 1,Slave 2,
1674179888857,,326792,,
1674179888873,111136,,,,
1674179888874,317932,,,
1674179888878,,,341168,
1674179889945,328432,,,
1674179889947,111760,,331752,,
1674179889948,,,345572,
1674179890868,,,350400,
1674179890877,332584,,,
1674179890885,111760,,,,
1674179890893,,335816,,
1674179891833,111760,,,,
1674179891837,,,362104,
1674179891860,365476,,,
1674179891896,,389848,,
1674179892880,111860,,,,
1674179892885,,,395552,
1674179892888,402280,,,
1674179892918,,392240,,
1674179893877,,392744,,
1674179893882,,,436140,
1674179893886,111860,,,,
1674179893910,406592,,,
1674179894861,111860,,,,
1674179894868,,400540,,
1674179894880,407660,,,
1674179894919,,,464784,
1674179895863,112088,,,,
1674179895868,424948,,,
1674179895880,,436568,,
1674179895903,,,465268,
1674179896866,,,466372,
1674179896922,,436816,,
1674179896926,475056,,,
1674179896971,112088,,,,
1674179897853,112088,,,,
1674179897879,,,476448,
1674179897881,,437084,,
1674179897951,537024,,,
1674179898850,112088,,,,
1674179898854,,,533624,
1674179898871,597996,,,
1674179898893,,488080,,
1674179899839,112088,,,,
1674179899851,,,535752,
1674179899858,598720,,,
1674179899864,,488580,,
1674179900859,,,536508,
1674179900870,112088,,,,
1674179900876,,488832,,
1674179900896,599112,,,
1674179901891,112464,,,,
1674179901922,,499688,,
1674179901923,600752,,,
1674179901966,,,529652,
1674179902853,112464,,,,
1674179902863,,,531816,
1674179902872,,564200,,
1674179902879,602460,,,
1674179903902,,,572936,
1674179903934,,569036,,
1674179903946,604520,,,
1674179903995,112688,,,,
1674179904850,112776,,,,
1674179904866,,574924,,
1674179904874,647828,,,
1674179904888,,,573052,
1674179905861,112776,,,,
1674179905874,,,573220,
1674179905876,654884,,,
1674179905880,,577060,,
1674179906856,112776,,,,
1674179906864,,,575768,
1674179906894,,577720,,
1674179906900,658136,,,
1674179907874,,634656,,
1674179907882,112776,,,,
1674179907886,658872,,,
1674179907891,,,607224,
1674179908844,112884,,,,
1674179908845,,641540,,
1674179908851,661228,,,
1674179908853,,,610116,
1674179909843,,,612236,
1674179909845,112884,,,,
1674179909850,,643400,,
1674179909861,684240,,,
1674179910831,112884,,,,
1674179910835,,,612336,
1674179910841,684332,643792,,
1674179911830,112884,,,,
1674179911831,,,652772,
1674179911839,671900,,,
1674179911840,,682460,,
1674179912835,112884,,,,
1674179912843,,,652856,
1674179912845,681740,,,
1674179912865,,745636,,
1674179913827,112884,,,,
1674179913840,,,652856,
1674179913842,682004,,,
1674179913851,,745692,,
1674179914834,,,659708,
1674179914836,112968,,,,
1674179914843,682268,,,
1674179914844,,745692,,
1674179915827,112968,,,,
1674179915838,708792,,753820,
1674179915842,,764168,,
1674179916827,112968,,,,
1674179916832,,,753820,
1674179916836,,852360,,
1674179916846,813336,,,
1674179917828,112968,,,,
1674179917834,,,753820,
1674179917841,860064,952756,,
1674179918830,112968,,,,
1674179918843,,1080004,,
1674179918848,,,755404,
1674179918854,860204,,,
1674179919823,112968,,,,
1674179919833,,,799296,
1674179919839,860552,,,
1674179919841,,1080076,,
1674179920831,,,892380,
1674179920833,112692,,,,
1674179920845,861240,,,
1674179920853,,1079680,,
1674179921831,,,989548,
1674179921834,,1079724,,
1674179921835,882444,,,
1674179921836,112640,,,,
1674179922831,112640,,,,
1674179922841,945012,,,
1674179922842,,,1076736,
1674179922843,,1080596,,
1674179923829,112640,,,,
1674179923834,,,1150656,
1674179923837,945012,,,
1674179923843,,1081388,,
1674179924831,112640,,,,
1674179924842,,1082180,1150720,
1674179924851,945012,,,
1674179925827,112640,,,,
1674179925838,,,1150720,
1674179925844,945096,1138940,,
1674179926829,112640,,,,
1674179926835,,,1150748,
1674179926836,945684,,,
1674179926844,,1138940,,
1674179927829,112720,,,,
1674179927833,,,1151804,
1674179927842,,1142320,,
1674179927844,1047060,,,
1674179928826,112720,,,,
1674179928832,,,1152068,
1674179928835,1047060,1142320,,
1674179929825,112720,,,,
1674179929834,,,1152596,
1674179929836,1047060,,,
1674179929846,,1142320,,
1674179930826,112720,,,,
1674179930833,,,1233380,
1674179930835,1047060,,,
1674179930848,,1142432,,
1674179931825,112720,,,,
1674179931841,,1142960,1233460,
1674179931843,1047060,,,
1674179932832,,,1233460,
1674179932841,,1242184,,
1674179932847,112720,,,,
1674179932849,1047144,,,
1674179933831,112720,,,,
1674179933835,,,1233460,
1674179933848,1064688,,,
1674179933849,,1242264,,
1674179934827,112720,,,,
1674179934836,,1242264,,
1674179934841,1168172,,,
1674179934843,,,1233460,
1674179935825,112720,,,,
1674179935834,,1242264,,
1674179935835,,,1233460,
1674179935845,1247372,,,
1674179936829,112812,,,,
1674179936834,,,1233460,
1674179936838,1247372,,,
1674179936844,,1242264,,
1674179937832,112812,,,,
1674179937836,,1242264,,
1674179937840,,,1233460,
1674179937848,1247372,,,
1674179938829,112812,,,,
1674179938839,,,1244528,
1674179938841,,1242340,,
1674179938856,1247440,,,
1674179939827,112860,,,,
1674179939842,1247440,,,
1674179939848,,1253692,,
1674179939851,,,1244668,
1674179940856,,,1244668,
1674179940862,,1253692,,
1674179940870,112860,,,,
1674179940889,1247440,,,
1674179941834,112916,,,,
1674179941838,,,1244668,
1674179941843,,1253692,,
1674179941845,1249552,,,
1674179942835,112916,,,,
1674179942840,,,1244744,
1674179942846,1260640,,,
1674179942851,,1253764,,
1674179943826,112916,,,,
1674179943833,,,1244744,
1674179943834,1260640,,,
1674179943839,,1253764,,
1674179944823,112996,,,,
1674179944834,1260640,,,
1674179944838,,,1244744,
1674179944839,,1253764,,
1674179945824,112996,,,,
1674179945832,,,1251872,
1674179945833,1260640,,,
1674179945840,,1253764,,
1674179946832,112996,,,,
1674179946840,,1261684,,
1674179946841,1260744,,1251872,
1674179947827,112996,,,,
1674179947832,,,1251872,
1674179947836,,1262380,,
1674179947839,1260744,,,
1674179948824,112996,,,,
1674179948835,,,1252864,
1674179948841,,1262380,,
1674179948851,1260744,,,
1674179949827,112996,,,,
1674179949832,,,1252864,
1674179949842,1268736,,,
1674179949843,,1262384,,
1674179950827,112996,,,,
1674179950834,,,1252864,
1674179950838,1268736,1262392,,
1674179951824,112996,,,,
1674179951833,1268736,,,
1674179951834,,,1252864,
1674179951841,,1262608,,
1674179952826,113084,,,,
1674179952840,,1262608,,
1674179952846,1268736,,,
1674179952859,,,1252864,
1674179953825,113084,,,,
1674179953832,,,1260256,
1674179953845,1269420,,,
1674179953847,,1269736,,
1674179954831,113084,,,,
1674179954832,,,1260600,
1674179954842,1269420,1269736,,
1674179955842,113084,,,,
1674179955848,,1269632,,
1674179955850,,,1260600,
1674179955859,1269420,,,
1674179956824,113084,,,,
1674179956840,1277340,1269632,,
1674179956846,,,1260600,
1674179957828,113084,,,,
1674179957831,,,1260600,
1674179957836,,1269632,,
1674179957837,1277340,,,
1674179958826,113084,,,,
1674179958837,,,1260740,
1674179958841,1278932,1269776,,
1674179959826,113084,,,,
1674179959843,,1269776,1261152,
1674179959844,1278932,,,
1674179960829,113460,,,,
1674179960847,1278932,,,
1674179960848,,1277680,,
1674179960850,,,1266888,
1674179961831,113808,,,,
1674179961854,,1278680,,
