Timestamp,Slave 0,Slave 1,Slave 2,
1674202422741,,322756,,
1674202422747,92744,,,,
1674202422765,,,320928,
1674202422795,324780,,,
1674202423725,,327720,,
1674202423767,337856,,,
1674202423769,93008,,,,
1674202423782,,,325244,
1674202424719,341052,,,
1674202424758,,328876,,
1674202424762,,,331900,
1674202424788,93008,,,,
1674202425709,349740,,,
1674202425712,93008,,,,
1674202425737,,367360,,
1674202425766,,,371940,
1674202426709,93096,,,,
1674202426712,,,405268,
1674202426730,387200,,,
1674202426754,,400960,,
1674202427705,,,438064,
1674202427714,,430420,,
1674202427744,93128,,,,
1674202427780,420976,,,
1674202428713,93208,,,,
1674202428724,,,479560,
1674202428741,463336,,,
1674202428764,,468764,,
1674202429710,,515472,,
1674202429711,93424,,,,
1674202429712,,,550028,
1674202429727,544688,,,
1674202430721,93504,,,,
1674202430725,,,550324,
1674202430730,559168,,,
1674202430738,,585144,,
1674202431710,93588,,,,
1674202431719,,,553960,
1674202431758,,585360,,
1674202431766,554628,,,
1674202432710,,585412,,
1674202432714,577364,,,
1674202432720,,,580044,
1674202432765,93668,,,,
1674202433698,93752,,,,
1674202433729,,,576096,
1674202433737,,610496,,
1674202433745,586584,,,
1674202434694,93928,606124,,,
1674202434696,,610720,,
1674202434714,,,598004,
1674202435746,98216,,,,
1674202435758,607040,,,
1674202435760,,632632,,
1674202435773,,,599500,
1674202436722,,,602232,
1674202436762,,637360,,
1674202436770,607176,,,
1674202436867,102392,,,,
1674202437731,112016,,,,
1674202437751,607336,,,
1674202437759,,,598440,
1674202437792,,641424,,
1674202438699,,,599972,
1674202438718,608076,,,
1674202438725,112104,,,,
1674202438756,,642272,,
1674202439692,,,617208,
1674202439698,624532,,,
1674202439719,112252,,,,
1674202439741,,642424,,
1674202440684,,,617456,
1674202440685,109096,,,,
1674202440690,,662068,,
1674202440698,625580,,,
1674202441725,109224,,,,
1674202441761,,662248,,
1674202441803,626784,,,
1674202441828,,,617596,
1674202442681,,,617872,
1674202442685,109304,,,,
1674202442692,,662744,,
1674202442700,627240,,,
1674202443716,109388,,,,
1674202443745,638832,,618624,
1674202443759,,662868,,
1674202444656,109468,,,,
1674202444671,,669084,,
1674202444672,,,641156,
1674202444692,726428,,,
1674202445660,109552,,,,
1674202445668,,,715652,
1674202445672,,753948,,
1674202445677,727304,,,
1674202446655,109644,,,,
1674202446665,,,707440,
1674202446671,,743992,,
1674202446679,702768,,,
1674202447661,109808,,,,
1674202447667,,743992,707704,
1674202447679,727052,,,
1674202448659,109892,,,,
1674202448663,,,732784,
1674202448665,,765904,,
1674202448673,727052,,,
1674202449660,109972,,,,
1674202449673,727316,,,
1674202449679,,765904,,
1674202449684,,,732848,
1674202450668,,,732848,
1674202450671,102016,,,,
1674202450686,,765904,,
1674202450695,746060,,,
1674202451654,102100,,,,
1674202451661,,,773272,
1674202451667,,767488,,
1674202451670,853240,,,
1674202452661,,845204,875520,
1674202452662,102256,,,,
1674202452671,954752,,,
1674202453666,102340,,,,
1674202453668,1002668,925096,,
1674202453706,,,1002180,
1674202454657,102424,,,,
1674202454665,,,1002180,
1674202454671,,1021536,,
1674202454680,1002668,,,
1674202455662,102504,,,,
1674202455663,,,1002180,
1674202455675,1002668,,,
1674202455678,,1125108,,
1674202456661,102584,,,,
1674202456669,,,1002196,
1674202456671,,1243728,,
1674202456673,1002668,,,
1674202457660,102752,,,,
1674202457667,,,1002460,
1674202457678,1002932,,,
1674202457680,,1243728,,
1674202458655,102840,,,,
1674202458660,,,1008268,
1674202458671,1009268,1243728,,
1674202459655,102920,,,,
1674202459664,,1243728,,
1674202459666,,,1008268,
1674202459672,1009268,,,
1674202460670,,,1008328,
1674202460673,103004,,,,
1674202460675,,1243728,,
1674202460682,1009268,,,
1674202461657,103084,,,,
1674202461666,,1243788,1008328,
1674202461689,1009268,,,
1674202462657,103168,,,,
1674202462665,,1247748,,
1674202462677,1009268,,,
1674202462682,,,1008328,
1674202463658,103024,,,,
1674202463677,,,1022112,
1674202463680,1056584,,,
1674202463682,,1247516,,
1674202464656,103052,,,,
1674202464662,,,1138928,
1674202464670,1154952,1247328,,
1674202465657,103136,,,,
1674202465670,1238952,,,
1674202465681,,,1138928,
1674202465685,,1247328,,
1674202466659,103216,,,,
1674202466665,,1247328,,
1674202466667,,,1138928,
1674202466683,1238952,,,
1674202467659,103300,,,,
