Timestamp,Slave 0,Slave 1,Slave 2,
1674204522510,0,,,,
1674204522515,0,,,
1674204522521,,0,,
1674204522524,,,0,
1674204522554,149,,,
1674204522559,53,,,,
1674204522563,,149,,
1674204522591,,,149,
1674204523511,53,,,,
1674204523517,149,,,
1674204523522,,149,,
1674204523525,,,149,
1674204524511,53,,,,
1674204524517,149,,,
1674204524522,,149,,
1674204524525,,,149,
1674204525511,53,,,,
1674204525517,149,,,
1674204525524,,149,,
1674204525525,,,149,
1674204526511,53,,,,
1674204526516,149,,,
1674204526522,,149,,
1674204526525,,,149,
1674204527511,53,,,,
1674204527517,149,,,
1674204527523,,149,,
1674204527527,,,149,
1674204528511,53,,,,
1674204528522,149,,,
1674204528523,,149,,
1674204528534,,,149,
1674204529512,53,,,,
1674204529519,149,,,
1674204529523,,149,,
1674204529527,,,149,
1674204530512,53,,,,
1674204530517,149,,,
1674204530523,,149,,
1674204530525,,,149,
1674204531511,53,,,,
1674204531517,149,,,
1674204531522,,149,,
1674204531525,,,149,
1674204532512,53,,,,
1674204532516,149,,,
1674204532525,,,149,
1674204532527,,149,,
1674204533512,53,,,,
1674204533516,149,,,
1674204533522,,149,,
1674204533525,,,149,
1674204534511,53,,,,
1674204534517,149,,,
1674204534523,,149,,
1674204534525,,,149,
1674204535511,53,,,,
1674204535516,149,,,
1674204535522,,149,,
1674204535525,,,149,
1674204536511,53,,,,
1674204536516,149,,,
1674204536522,,149,,
1674204536525,,,149,
1674204537513,53,,,,
1674204537518,149,,,
1674204537525,,149,,
1674204537526,,,149,
1674204538511,53,,,,
1674204538516,149,,,
1674204538523,,149,,
1674204538525,,,149,
1674204539511,53,,,,
1674204539516,149,,,
1674204539522,,149,,
1674204539525,,,149,
1674204540511,53,,,,
1674204540517,149,,,
1674204540522,,149,,
1674204540525,,,149,
1674204541511,53,,,,
1674204541516,149,,,
1674204541522,,149,,
1674204541525,,,149,
1674204542511,53,,,,
1674204542516,149,,,
1674204542522,,149,,
1674204542526,,,149,
1674204543511,53,,,,
1674204543516,149,,,
1674204543522,,149,,
1674204543525,,,149,
1674204544511,53,,,,
1674204544520,149,,,
1674204544522,,149,,
1674204544525,,,149,
1674204545511,53,,,,
1674204545516,149,,,
1674204545522,,149,,
1674204545525,,,149,
1674204546511,53,,,,
1674204546516,149,,,
1674204546522,,149,,
1674204546525,,,149,
1674204547511,53,,,,
1674204547516,149,,,
1674204547522,,149,,
1674204547525,,,149,
1674204548511,53,,,,
1674204548516,149,,,
1674204548522,,149,,
1674204548525,,,149,
