Timestamp,Slave 0,Slave 1,Slave 2,
1674209870491,0,,,,
1674209870497,,0,,
1674209870500,0,,,
1674209870504,24,,,,
1674209870517,,41,,
1674209870520,,,0,
1674209870535,,,43,
1674209870537,98,,,
1674209871492,25,,,,
1674209871499,,56,,
1674209871504,39,,,
1674209871520,,,63,
1674209872492,25,,,,
1674209872497,,28,,
1674209872500,64,,,
1674209872520,,,89,
1674209873492,25,,,,
1674209873497,,59,,
1674209873502,93,,,
1674209873520,,,120,
1674209874492,25,,,,
1674209874497,,97,,
1674209874500,127,,,
1674209874520,,,155,
1674209875492,25,,,,
1674209875500,157,129,,
1674209875520,,,189,
1674209876492,25,,,,
1674209876497,,168,,
1674209876500,197,,,
1674209876520,,,231,
1674209877492,25,,,,
1674209877497,,209,,
1674209877501,241,,,
1674209877520,,,54,
1674209878492,25,,,,
1674209878498,,251,,
1674209878500,63,,,
1674209878520,,,99,
1674209879492,25,,,,
1674209879498,,293,,
1674209879500,105,,,
1674209879520,,,144,
1674209880496,25,,,,
1674209880498,,70,,
1674209880503,148,,,
1674209880521,,,73,
1674209881492,25,,,,
1674209881498,,121,,
1674209881501,82,,,
1674209881520,,,125,
1674209882492,26,,,,
1674209882499,,175,,
1674209882501,140,,,
1674209882520,,,185,
1674209883492,26,,,,
1674209883498,,97,,
1674209883500,199,,,
1674209883520,,,138,
1674209884491,26,,,,
1674209884498,,142,,
1674209884500,123,,,
1674209884520,,,176,
1674209885493,27,,,,
1674209885500,,185,,
1674209885503,164,,,
1674209885521,,,220,
1674209886492,27,,,,
1674209886497,,228,,
1674209886500,206,,,
1674209886520,,,265,
1674209887492,27,,,,
1674209887498,,140,,
1674209887500,254,,,
1674209887520,,,123,
1674209888492,27,,,,
1674209888498,,194,,
1674209888500,123,,,
1674209888520,,,176,
1674209889492,27,,,,
1674209889498,,251,,
1674209889500,176,,,
1674209889520,,,233,
1674209890492,27,,,,
1674209890498,,314,,
1674209890500,234,,,
1674209890520,,,295,
1674209891491,27,,,,
1674209891497,,373,,
1674209891500,287,,,
1674209891520,,,354,
1674209892491,27,,,,
1674209892497,,165,,
1674209892500,377,,,
1674209892520,,,443,
1674209893492,27,,,,
1674209893498,,266,,
1674209893500,179,,,
1674209893520,,,164,
1674209894492,27,,,,
1674209894497,,375,,
1674209894500,283,,,
1674209894520,,,272,
1674209895492,27,,,,
1674209895497,,194,,
1674209895500,391,,,
1674209895520,,,380,
1674209896491,27,,,,
1674209896497,,306,,
1674209896500,235,,,
1674209896520,,,238,
1674209897491,28,,,,
1674209897497,,421,,
1674209897500,349,,,
1674209897520,,,353,
1674209898491,28,,,,
1674209898497,,152,,
1674209898500,456,,,
1674209898520,,,462,
1674209899491,28,,,,
1674209899497,,264,,
1674209899500,567,,,
1674209899520,,,576,
1674209900491,28,,,,
1674209900497,,369,,
1674209900500,667,,,
1674209900520,,,677,
1674209901492,28,,,,
1674209901497,,476,,
1674209901500,772,,,
1674209901520,,,782,
1674209902491,28,,,,
1674209902497,,570,,
1674209902500,178,,,
1674209902520,,,872,
1674209903491,28,,,,
1674209903497,,664,,
1674209903500,273,,,
1674209903520,,,200,
1674209904492,28,,,,
1674209904497,,225,,
1674209904500,375,,,
1674209904520,,,303,
1674209905491,28,,,,
1674209905497,,335,,
1674209905500,484,,,
1674209905520,,,412,
1674209906491,28,,,,
1674209906497,,446,,
1674209906500,592,,,
1674209906520,,,522,
1674209907491,28,,,,
1674209907497,,555,,
1674209907500,171,,,
1674209907520,,,630,
1674209908492,28,,,,
1674209908497,,660,,
1674209908500,277,,,
1674209908520,,,260,
1674209909491,29,,,,
1674209909497,,775,,
1674209909500,393,,,
1674209909520,,,373,
1674209910491,29,,,,
1674209910497,,876,,
1674209910500,495,,,
1674209910520,,,478,
1674209911491,29,,,,
1674209911497,,247,,
1674209911500,601,,,
1674209911520,,,585,
1674209912491,29,,,,
1674209912497,,358,,
1674209912500,712,,,
1674209912520,,,697,
1674209913491,29,,,,
1674209913497,,473,,
1674209913500,823,,,
1674209913520,,,811,
1674209914491,29,,,,
1674209914497,,583,,
1674209914500,241,,,
1674209914520,,,920,
1674209915491,29,,,,
1674209915497,,692,,
1674209915500,352,,,
1674209915520,,,270,
1674209916491,29,,,,
1674209916497,,798,,
1674209916500,457,,,
1674209916520,,,377,
1674209917491,29,,,,
1674209917497,,906,,
1674209917500,565,,,
1674209917520,,,487,
1674209918491,29,,,,
1674209918497,,264,,
1674209918500,676,,,
1674209918520,,,596,
1674209919491,29,,,,
1674209919497,,375,,
1674209919500,785,,,
1674209919520,,,708,
1674209920491,29,,,,
1674209920497,,491,,
1674209920500,898,,,
1674209920520,,,822,
1674209921491,29,,,,
1674209921497,,597,,
1674209921502,249,,,
1674209921520,,,927,
1674209922491,9,,,,
1674209922497,,711,,
1674209922500,357,,,
1674209922520,,,289,
1674209923491,9,,,,
1674209923497,,822,,
1674209923500,467,,,
1674209923520,,,401,
