Timestamp,Slave 0,Slave 1,Slave 2,
1723675535289,0,,,,
1723675535296,0,,,
1723675535298,,0,,
1723675535299,,,0,
1723675535310,,121,,
1723675535316,,,121,
1723675535321,10,,,,
1723675535336,97,,,
1723675536290,10,,,,
1723675536296,120,,,
1723675536299,,36,,
1723675536301,,,142,
1723675537290,10,,,,
1723675537297,44,,,
1723675537299,,,53,
1723675537301,,63,,
1723675538290,12,,,,
1723675538296,69,,,
1723675538299,,90,,
1723675538301,,,82,
1723675539290,12,,,,
1723675539296,97,,,
1723675539299,,118,,
1723675539302,,,110,
1723675540290,12,,,,
1723675540296,125,,,
1723675540299,,149,,
1723675540300,,,139,
1723675541290,12,,,,
1723675541296,171,,,
1723675541299,,197,,
1723675541300,,,183,
1723675542290,12,,,,
1723675542296,218,,,
1723675542299,,249,,
1723675542301,,,236,
1723675543290,12,,,,
1723675543296,255,,,
1723675543299,,289,,
1723675543301,,,272,
1723675544290,12,,,,
1723675544296,312,,,
1723675544299,,347,,
1723675544301,,,326,
1723675545290,12,,,,
1723675545296,361,,,
1723675545299,,398,,
1723675545302,,,91,
1723675546290,12,,,,
1723675546297,448,,,
1723675546300,,,182,
1723675546301,,102,,
1723675547290,12,,,,
1723675547296,165,,,
1723675547299,,189,,
1723675547304,,,267,
1723675548290,12,,,,
1723675548297,205,,,
1723675548299,,231,,
1723675548301,,,116,
1723675549290,12,,,,
1723675549296,233,,,
1723675549300,,262,,
1723675549302,,,146,
1723675550293,12,,,,
1723675550299,280,,,
1723675550300,,108,,
1723675550303,,,193,
1723675551290,12,,,,
1723675551297,138,,,
1723675551299,,153,240,
1723675552290,12,,,,
1723675552297,181,,,
1723675552299,,195,284,
1723675553290,12,,,,
1723675553297,248,,,
1723675553299,,261,159,
1723675554290,12,,,,
1723675554296,338,,,
1723675554300,,128,,
1723675554301,,,254,
1723675555290,12,,,,
1723675555296,196,,,
1723675555299,,225,,
1723675555300,,,350,
1723675556290,12,,,,
1723675556296,296,,,
1723675556299,,330,,
1723675556301,,,455,
1723675557290,12,,,,
1723675557296,389,,,
1723675557299,,429,188,
1723675558290,12,,,,
