01:59:30,456 INFO  [org.radargun.LaunchMaster] (main) Running in directory: /mnt/workspace/results/.
01:59:30,472 INFO  [org.radargun.LaunchMaster] (main) Configuration file is: /mnt/workspace/results/config.xml
01:59:30,482 ERROR [org.radargun.config.DomConfigParser] (main) loading: /mnt/workspace/results/config.xml
01:59:30,491 ERROR [org.radargun.config.DomConfigParser] (main) loaded: /mnt/workspace/results/config.xml
01:59:30,759 INFO  [org.radargun.RemoteSlaveConnection] (main) Attempting to start Master listening for connection on: results/127.0.0.1:2103
01:59:30,761 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting 5 seconds for server socket to open completely
01:59:35,766 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 3 slaves.
01:59:35,782 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 2 slaves.
01:59:35,785 INFO  [org.radargun.RemoteSlaveConnection] (main) Awaiting registration from 1 slaves.
01:59:35,789 INFO  [org.radargun.RemoteSlaveConnection] (main) Connection established from 3 slaves.
01:59:35,992 INFO  [org.radargun.Master] (main) Started benchmarking configuration 'Infinispan 9.2 - distributed'
01:59:35,992 INFO  [org.radargun.Master] (main) Starting scenario on Cluster[default=3]
01:59:36,115 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 3 reconnecting slaves
01:59:37,342 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 2 reconnecting slaves
01:59:37,424 INFO  [org.radargun.RemoteSlaveConnection] (main) Waiting for 1 reconnecting slaves
01:59:37,519 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioInit.
01:59:39,391 INFO  [org.radargun.stages.ScenarioInitStage] (main) Received responses from all 3 slaves. Durations [0 = 18 ms, 1 = 23 ms, 2 = 35 ms]
01:59:39,391 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioInit.
01:59:39,392 INFO  [org.radargun.Master] (main) Starting distributed stage BeforeServiceStart.
01:59:39,400 INFO  [org.radargun.stages.BeforeServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
01:59:39,400 INFO  [org.radargun.Master] (main) Finished distributed stage BeforeServiceStart.
01:59:39,403 INFO  [org.radargun.Master] (main) Starting distributed stage ServiceStart.
01:59:47,318 INFO  [org.radargun.stages.lifecycle.ServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 7.32 seconds, 1 = 7.38 seconds, 2 = 7.9 seconds]
01:59:47,321 INFO  [org.radargun.Master] (main) Finished distributed stage ServiceStart.
01:59:47,322 INFO  [org.radargun.Master] (main) Starting distributed stage AfterServiceStart.
01:59:47,338 INFO  [org.radargun.stages.AfterServiceStartStage] (main) Received responses from all 3 slaves. Durations [0 = 0 ns, 1 = 0 ns, 2 = 0 ns]
01:59:47,339 INFO  [org.radargun.Master] (main) Finished distributed stage AfterServiceStart.
01:59:47,340 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStart.
01:59:47,404 INFO  [org.radargun.sysmonitor.AbstractMonitors] (main) Gathering statistics every 1000 ms
01:59:47,417 INFO  [org.radargun.stages.monitor.MonitorStartStage] (main) Received responses from all 3 slaves. Durations [0 = 9 ms, 1 = 5 ms, 2 = 5 ms]
01:59:47,417 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStart.
01:59:47,478 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
01:59:58,911 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 11.43 seconds, 1 = 11.35 seconds, 2 = 11.38 seconds]
01:59:58,911 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
01:59:58,919 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
01:59:58,921 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
02:00:59,025 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 60.02 seconds, 1 = 60.02 seconds, 2 = 60.08 seconds]
02:00:59,025 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) This test was executed as a warmup
02:00:59,027 INFO  [org.radargun.Master] (main) Finished distributed stage BasicOperationsTest.
02:00:59,028 INFO  [org.radargun.Master] (main) Starting distributed stage Clear.
02:00:59,197 INFO  [org.radargun.stages.cache.ClearStage] (main) Received responses from all 3 slaves. Durations [0 = 166 ms, 1 = 123 ms, 2 = 80 ms]
02:00:59,198 INFO  [org.radargun.Master] (main) Finished distributed stage Clear.
02:00:59,199 INFO  [org.radargun.Master] (main) Starting distributed stage Load.
02:01:04,003 INFO  [org.radargun.stages.cache.test.LoadStage] (main) Received responses from all 3 slaves. Durations [0 = 4.8 seconds, 1 = 4.7 seconds, 2 = 4.8 seconds]
02:01:04,003 INFO  [org.radargun.Master] (main) Finished distributed stage Load.
02:01:04,056 WARN  [org.radargun.config.InitHelper] (main) Method public void org.radargun.stages.cache.test.BasicOperationsTestStage.init() overrides public void org.radargun.stages.test.TestStage.init() but both are declared with @Init annotation: calling only once
02:01:04,057 INFO  [org.radargun.Master] (main) Starting distributed stage BasicOperationsTest.
02:11:04,466 INFO  [org.radargun.stages.cache.test.BasicOperationsTestStage] (main) Received responses from all 3 slaves. Durations [0 = 10 minutes, 1 = 10 minutes, 2 = 10 minutes]
02:11:04,598 INFO  [org.radargun.Master] (main) Finished distributed stage BasicOperationsTest.
02:11:04,600 INFO  [org.radargun.Master] (main) Starting distributed stage MonitorStop.
02:11:04,606 INFO  [org.radargun.Master] (main) Finished distributed stage MonitorStop.
02:11:04,609 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioDestroy.
02:11:04,762 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioDestroy.
02:11:04,764 INFO  [org.radargun.Master] (main) Starting distributed stage ScenarioCleanup.
02:11:09,886 INFO  [org.radargun.stages.ScenarioCleanupStage] (main) Node 0 has changed available memory from 1357 MB to 1348 MB and has 0 unfinished threads
02:11:09,887 INFO  [org.radargun.stages.ScenarioCleanupStage] (main) Node 1 has changed available memory from 1357 MB to 1348 MB and has 2 unfinished threads
02:11:09,887 INFO  [org.radargun.stages.ScenarioCleanupStage] (main) Node 2 has changed available memory from 1357 MB to 1348 MB and has 2 unfinished threads
02:11:09,888 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioCleanup.
02:11:09,888 INFO  [org.radargun.Master] (main) Finished scenario on Cluster[default=3] in 11 mins 32 secs
02:11:09,957 INFO  [org.radargun.Master] (main) Finished benchmarking configuration 'Infinispan 9.2 - distributed' in 11 mins 33 secs
02:11:09,966 INFO  [org.radargun.Master] (main) Executed all benchmarks in 11 mins 33 secs, reporting...
02:11:09,967 INFO  [org.radargun.Master] (main) Running reporter org.radargun.reporting.csv.CsvReporter@a38c7fe
02:11:09,971 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/stress-test_Infinispan 9.2 - distributed_default_3.csv
02:11:10,028 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_CPU usage.csv
02:11:10,067 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_GC CPU usage.csv
02:11:10,085 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_RSS Memory usage.csv
02:11:10,101 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_Memory usage.csv
02:11:10,118 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/mnt/workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_Open files.csv
02:11:10,132 INFO  [org.radargun.Master] (main) Running reporter org.radargun.reporting.html.HtmlReporter@6c1a5b54
02:11:12,812 INFO  [org.radargun.Master] (main) All reporters have been executed, exiting.
02:11:12,826 INFO  [org.radargun.ShutDownHook] (Thread-0) Master process is being shutdown
