Timestamp,Slave 0,Slave 1,Slave 2,
1734011743173,,298496,,
1734011743183,,,307892,
1734011743227,111884,,,,
1734011743234,297404,,,
1734011744192,,319404,,
1734011744193,112176,,,,
1734011744195,317428,,,
1734011744197,,,325440,
1734011745178,112220,354244,,,
1734011745204,,360716,,
1734011745218,,,366600,
1734011746163,112220,,,,
1734011746173,,,366256,
1734011746187,,367128,,
1734011746220,401712,,,
1734011747165,408556,,,
1734011747166,,367604,,
1734011747168,112220,,,,
1734011747190,,,382224,
1734011748172,112220,,,,
1734011748176,,385880,,
1734011748178,408952,,,
1734011748184,,,395616,
1734011749162,,,402636,
1734011749177,112300,,,,
1734011749210,413140,,,
1734011749214,,397472,,
1734011750156,112328,,,,
1734011750175,,426044,,
1734011750198,417388,,,
1734011750224,,,432328,
1734011751169,112328,,,,
1734011751170,,490732,,
1734011751184,473596,,,
1734011751202,,,494992,
1734011752145,112328,,,,
1734011752154,,580020,580044,
1734011752157,556436,,,
1734011753143,112328,,,,
1734011753152,,676844,,
1734011753155,,,667736,
1734011753163,604028,,,
1734011754200,,799016,,
1734011754207,647560,,,
1734011754209,112620,,,,
1734011754220,,,671116,
1734011755156,112672,,,,
1734011755183,,,721996,
1734011755193,650000,,,
1734011755201,,804188,,
1734011756178,671844,,,
1734011756206,112720,,,,
1734011756208,,,732268,
1734011756212,,804552,,
1734011757190,112720,,860816,,
1734011757209,,,732852,
1734011757236,691872,,,
1734011758158,,871064,,
1734011758161,112720,,,,
1734011758162,692684,,,
1734011758188,,,751264,
1734011759149,112804,,,,
1734011759192,,,756336,
1734011759202,692696,,,
1734011759259,,881540,,
1734011760144,112804,,,,
1734011760147,,,754648,
1734011760165,693024,,,
1734011760166,,883200,,
1734011761153,112804,,,,
1734011761158,694460,,,
1734011761159,,883348,,
1734011761162,,,755348,
1734011762148,,,756752,
1734011762153,112804,,,,
1734011762157,,883612,,
1734011762165,694552,,,
1734011763142,112804,,,,
1734011763155,694616,,,
1734011763161,,,746012,
1734011763200,,898056,,
1734011764151,112904,,,,
1734011764161,704356,,,
1734011764162,,898056,746036,
1734011765142,112904,,,,
1734011765151,,,751052,
1734011765161,,898320,,
1734011765162,704356,,,
1734011766147,,898404,,
1734011766151,112904,,,,
1734011766158,,,751116,
1734011766160,704356,,,
1734011767148,,899196,,
1734011767152,112972,,,,
1734011767157,,,751256,
1734011767174,704884,,,
1734011768148,112980,784948,899256,,
1734011768154,,,753356,
1734011769152,112980,850476,,,
1734011769159,,899256,,
1734011769160,,,851812,
1734011770153,,,851812,
1734011770155,112980,,,,
1734011770158,850476,,,
1734011770170,,899344,,
1734011771148,,907528,,
1734011771151,113064,,,,
1734011771154,,,851892,
1734011771156,850552,,,
1734011772149,,,851980,
1734011772153,113064,850552,,,
1734011772162,,907588,,
1734011773145,113064,,,,
1734011773149,,907852,,
1734011773150,,,851980,
1734011773153,868624,,,
1734011774143,113064,,,,
1734011774151,,,881580,
1734011774152,966676,,,
1734011774178,,907852,,
1734011775146,113144,,,,
1734011775156,,,974076,
1734011775163,,907852,,
1734011775176,1113808,,,
1734011776138,113144,,,,
1734011776146,1113808,,,
1734011776154,,961468,,
1734011776161,,,1063624,
1734011777144,113144,,,,
1734011777158,1113880,,,
1734011777165,,,1063624,
1734011777174,,1064780,,
1734011778151,,1163612,,
1734011778159,113144,,,,
1734011778161,,,1063884,
1734011778171,1113880,,,
1734011779152,,,1064044,
1734011779158,113144,,,,
1734011779164,1113880,,,
1734011779176,,1235580,,
1734011780149,113144,,,,
1734011780153,,1235580,,
1734011780154,1113880,,,
1734011780166,,,1064056,
1734011781156,113228,1116576,,1065904,
1734011781157,,1235580,,
1734011782152,113228,,,,
1734011782162,1116864,,1066244,
1734011782172,,1235712,,
1734011783145,113228,,,1139136,
1734011783159,,1235712,,
1734011783174,1233552,,,
1734011784144,113228,,,,
1734011784154,1233552,1235712,1227364,
1734011785145,113260,,,,
1734011785155,,1236248,1227372,
1734011785159,1233624,,,
1734011786148,,1243636,,
1734011786151,113260,,,,
1734011786152,1233624,,,
1734011786161,,,1227372,
1734011787154,,1243720,,
1734011787158,113260,,,,
1734011787166,,,1227372,
1734011787168,1233624,,,
1734011788146,113260,,,,
1734011788153,1233704,,,
1734011788158,,1243720,,
1734011788169,,,1227372,
1734011789142,113260,,,,
1734011789154,,1243720,,
1734011789173,,,1227372,
1734011789179,1233704,,,
1734011790148,113260,,,,
1734011790158,1233704,,,
1734011790164,,,1227456,
1734011790166,,1243764,,
1734011791161,,,1239072,
