
===================================
Domain Marker;critical-jOPS;1609.0
Domain Marker;max-jOPS;7538.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
83.0;500.0;2100.0;3000.0;3300.0;4100.0;6400.0
166.0;300.0;2200.0;3400.0;3900.0;4800.0;188000.0
248.0;500.0;2600.0;4300.0;4900.0;6100.0;194000.0
331.0;400.0;2800.0;4700.0;5400.0;7000.0;200000.0
414.0;500.0;3100.0;5300.0;6100.0;8200.0;201000.0
497.0;400.0;3300.0;5900.0;6800.0;9700.0;207000.0
580.0;400.0;3500.0;6400.0;7400.0;10800.0;204000.0
663.0;500.0;3600.0;6980.000000000291;8100.0;12300.0;203000.0
745.0;400.0;4100.0;7700.0;9000.0;14500.0;213000.0
828.0;400.0;4300.0;8300.0;9600.0;16000.0;215000.0
911.0;400.0;4400.0;9000.0;10800.0;143000.0;1300000.0
994.0;400.0;4400.0;9100.0;10600.0;18200.0;164000.0
1077.0;400.0;4700.0;9800.0;11400.0;19600.0;190000.0
1160.0;400.0;4800.0;10200.0;12000.0;24000.0;159000.0
1242.0;400.0;4900.0;10900.0;13300.0;131000.0;1200000.0
1325.0;400.0;4900.0;10600.0;12200.0;16000.0;147000.0
1408.0;300.0;5000.0;11300.0;13500.0;21000.0;1300000.0
1491.0;400.0;4900.0;11100.0;13000.0;18400.0;125000.0
1574.0;500.0;4800.0;10700.0;12700.0;19400.0;1300000.0
1657.0;300.0;4800.0;10900.0;12900.0;19300.0;128000.0
1739.0;400.0;5100.0;11300.0;13400.0;23000.0;1200000.0
1822.0;400.0;5100.0;11700.0;15000.0;261000.0;1200000.0
1905.0;500.0;5000.0;11100.0;13900.0;106000.0;1200000.0
1988.0;500.0;5000.0;10900.0;12930.000000000291;23000.0;130000.0
2071.0;400.0;5200.0;11600.0;13700.0;32000.0;193000.0
2154.0;400.0;5300.0;11600.0;14700.0;25000.0;131000.0
2236.0;400.0;5200.0;11600.0;15500.0;175000.0;1200000.0
2319.0;400.0;5300.0;11800.0;15300.0;39000.0;1300000.0
2402.0;400.0;5200.0;11710.000000000582;15600.0;133000.0;1200000.0
2485.0;400.0;5100.0;11000.0;13600.0;29000.0;124000.0
2568.0;500.0;5100.0;11600.0;16800.0;222000.0;1200000.0
2651.0;500.0;5300.0;11600.0;14900.0;106000.0;1200000.0
2733.0;400.0;5200.0;11400.0;14700.0;32000.0;1200000.0
2816.0;400.0;5300.0;12400.0;22000.0;140700.00000001164;1200000.0
2899.0;400.0;5600.0;12800.0;19300.0;110000.0;1200000.0
2982.0;400.0;5500.0;12400.0;19900.0;346000.0;1300000.0
3065.0;500.0;5500.0;13700.0;35000.0;375920.0000000128;1700000.0
3148.0;400.0;5600.0;13500.0;29000.0;82000.0;1300000.0
3230.0;300.0;5600.0;13400.0;27000.0;690000.0;850000.0
3313.0;400.0;5700.0;16400.0;87000.0;514000.0;1300000.0
3396.0;400.0;5600.0;13800.0;31000.0;175000.0;1300000.0
3479.0;300.0;5700.0;13700.0;24000.0;41000.0;1200000.0
3562.0;400.0;5700.0;14600.0;35000.0;566000.0;1200000.0
3645.0;400.0;6000.0;22000.0;34000.0;118000.0;1400000.0
3727.0;300.0;5800.0;14600.0;32000.0;349000.0;1200000.0
3810.0;400.0;6200.0;18000.0;35000.0;77000.0;1400000.0
3893.0;400.0;6000.0;17000.0;41000.0;250000.0;1300000.0
3976.0;400.0;6100.0;17500.0;38000.0;223000.0;1200000.0
4059.0;400.0;6200.0;25000.0;51000.0;314000.0;1300000.0
4141.0;400.0;6300.0;19800.0;47000.0;346790.00000000815;1200000.0
4224.0;400.0;6200.0;25000.0;49000.0;263000.0;1200000.0
4307.0;300.0;6600.0;37000.0;217000.0;1300000.0;2200000.0
4390.0;300.0;6500.0;26000.0;58000.0;213000.0;350000.0
4473.0;400.0;6800.0;31000.0;90000.0;422000.0;1300000.0
4556.0;300.0;6800.0;31000.0;51000.0;102000.0;1300000.0
4638.0;400.0;7000.0;39000.0;72000.0;680000.0;1200000.0
4721.0;400.0;7000.0;41000.0;94000.0;277000.0;1200000.0
4804.0;400.0;7300.0;40000.0;92000.0;323000.0;1200000.0
4887.0;300.0;7400.0;46000.0;140000.0;740000.0;1200000.0
4970.0;300.0;7300.0;39000.0;83000.0;660000.0;1300000.0
5053.0;400.0;7900.0;46000.0;131000.0;352000.0;1500000.0
5135.0;400.0;7900.0;82000.0;286000.0;930000.0;1300000.0
5218.0;400.0;8300.0;78000.0;271000.0;670000.0;1200000.0
5301.0;400.0;8900.0;88000.0;182000.0;417000.0;2000000.0
5384.0;300.0;8700.0;75000.0;223000.0;466000.0;1300000.0
5467.0;300.0;8900.0;81000.0;376000.0;690000.0;1300000.0
5550.0;300.0;9600.0;159000.0;483000.0;790000.0;1300000.0
5632.0;400.0;9800.0;161000.0;438000.0;640000.0;1300000.0
5715.0;400.0;9800.0;136000.0;278000.0;465000.0;1300000.0
5798.0;300.0;11000.0;114000.0;345000.0;980000.0;1300000.0
5881.0;300.0;11400.0;250000.0;384000.0;610000.0;1300000.0
5964.0;400.0;11600.0;175000.0;365000.0;690000.0;1300000.0
6047.0;300.0;12200.0;220000.0;456000.0;760000.0;1400000.0
6129.0;300.0;14700.0;287000.0;484000.0;710000.0;2000000.0
6212.0;400.0;15400.0;355000.0;497000.0;690000.0;1300000.0
6295.0;300.0;15200.0;214000.0;425000.0;610000.0;1300000.0
6378.0;300.0;21000.0;382000.0;551000.0;700000.0;1300000.0
6461.0;300.0;19900.0;333000.0;473000.0;730000.0;1300000.0
6544.0;400.0;27000.0;478000.0;650000.0;1200000.0;1300000.0
6626.0;300.0;38000.0;496000.0;610000.0;760000.0;1300000.0
6709.0;300.0;30000.0;480000.0;670000.0;840000.0;1300000.0
6792.0;300.0;74000.0;630000.0;780000.0;1100000.0;2200000.0
6875.0;300.0;56000.0;499000.0;610000.0;990000.0;1300000.0
6958.0;300.0;80000.0;540000.0;690000.0;890000.0;1300000.0
7041.0;400.0;120000.0;650000.0;790000.0;1100000.0;1400000.0
7123.0;300.0;181000.0;730000.0;860000.0;1000000.0;1300000.0
7206.0;300.0;152000.0;700000.0;810000.0;960000.0;1600000.0
7289.0;300.0;316000.0;850000.0;970000.0;1200000.0;2500000.0
7372.0;4700.0;463000.0;840000.0;960000.0;1300000.0;1800000.0
7455.0;5900.0;554000.0;900000.0;1000000.0;1300000.0;2200000.0
7538.0;900.0;750000.0;1200000.0;1400000.0;1900000.0;3200000.0
7620.0;49000.0;910000.0;1300000.0;1600000.0;2700000.0;1.3E7
7703.0;32000.0;980000.0;1400000.0;1800000.0;9300000.0;2.1E7
7786.0;72000.0;810000.0;1100000.0;1200000.0;2100000.0;2.1E7
7869.0;29000.0;800000.0;1100000.0;1200000.0;1500000.0;2.4E7
