
===================================
Domain Marker;critical-jOPS;1240.0
Domain Marker;max-jOPS;6440.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
80.0;500.0;2200.0;3400.0;3800.0;4600.0;6300.0
161.0;400.0;2400.0;3900.0;4400.0;5600.0;9600.0
241.0;400.0;2800.0;4700.0;5400.0;6700.0;111000.0
322.0;400.0;2800.0;5100.0;5900.0;7400.0;163000.0
402.0;500.0;3200.0;5800.0;6700.0;8504.000000000087;162000.0
483.0;400.0;3400.0;6500.0;7500.0;10100.0;156000.0
563.0;500.0;3600.0;7100.0;8100.0;10700.0;158000.0
644.0;400.0;3700.0;7500.0;8600.0;12000.0;158000.0
724.0;500.0;3700.0;8100.0;9400.0;15500.0;179000.0
805.0;400.0;4000.0;8500.0;9800.0;17200.0;290000.0
885.0;400.0;4100.0;9000.0;10500.0;23000.0;304000.0
966.0;400.0;4400.0;9700.0;11500.0;40000.0;355000.0
1046.0;400.0;4100.0;9800.0;11600.0;25000.0;361000.0
1127.0;500.0;4500.0;10400.0;12300.0;31000.0;315000.0
1207.0;500.0;4300.0;10600.0;12700.0;56619.99999999534;310000.0
1288.0;400.0;4400.0;10800.0;13100.0;48000.0;402000.0
1368.0;400.0;4400.0;10800.0;13000.0;50000.0;301000.0
1449.0;500.0;4600.0;11000.0;13400.0;30000.0;346000.0
1529.0;400.0;4700.0;10900.0;13200.0;29000.0;293000.0
1610.0;400.0;4600.0;10900.0;13300.0;50589.99999999651;300000.0
1690.0;400.0;4600.0;10900.0;13700.0;69000.0;482000.0
1771.0;400.0;4700.0;11000.0;14200.0;86000.0;453000.0
1851.0;400.0;4800.0;10700.0;13300.0;67000.0;511000.0
1932.0;400.0;4600.0;11000.0;14300.0;86000.0;343000.0
2012.0;400.0;4900.0;10800.0;13300.0;65000.0;305000.0
2093.0;400.0;4900.0;11200.0;14700.0;92000.0;491000.0
2173.0;400.0;4800.0;11300.0;14900.0;99000.0;527000.0
2254.0;400.0;4800.0;11200.0;15300.0;132000.0;483000.0
2334.0;400.0;5000.0;11200.0;14700.0;88000.0;369000.0
2415.0;400.0;5000.0;11100.0;15200.0;112000.0;393000.0
2495.0;400.0;5200.0;12100.0;20000.0;105000.0;545000.0
2576.0;400.0;5200.0;11500.0;16500.0;92000.0;399000.0
2656.0;400.0;5300.0;11900.0;22000.0;118000.0;335000.0
2737.0;400.0;5400.0;12900.0;31000.0;153000.0;570000.0
2817.0;400.0;5300.0;12100.0;21000.0;109000.0;544000.0
2898.0;400.0;5400.0;12400.0;25000.0;130000.0;403000.0
2978.0;400.0;5400.0;12100.0;19100.0;105000.0;630000.0
3059.0;400.0;5600.0;13900.0;35000.0;182000.0;760000.0
3139.0;400.0;5700.0;14200.0;39000.0;193000.0;700000.0
3220.0;400.0;5600.0;13900.0;34000.0;152000.0;770000.0
3300.0;400.0;5900.0;16500.0;47000.0;126000.0;549000.0
3381.0;400.0;6100.0;23000.0;79000.0;220000.0;770000.0
3461.0;400.0;6300.0;25000.0;62000.0;152000.0;820000.0
3542.0;400.0;6200.0;23000.0;58000.0;147000.0;730000.0
3622.0;400.0;6300.0;31000.0;75000.0;186000.0;760000.0
3703.0;400.0;6500.0;28000.0;66000.0;149000.0;770000.0
3783.0;400.0;6800.0;46000.0;104000.0;210000.0;990000.0
3864.0;400.0;6600.0;33000.0;70000.0;194000.0;740000.0
3944.0;400.0;7000.0;42000.0;84000.0;198000.0;820000.0
