Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1208.0
Domain Marker;max-jOPS;6198.0
Domain Marker;Last Success for SLAs;2656.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
80;89.31359350804209
161;93.30534210035911
241;93.6881176001823
322;94.02787385706137
402;93.75286983398513
483;94.40397419012199
563;95.56628053720856
644;95.41437074252248
724;95.89971505107042
805;95.66313364065239
885;95.43061920503206
966;95.78016858409231
1046;96.06809242253681
1127;96.11351457827212
1207;96.21884157616532
1288;96.08090445596096
1368;96.16583266257697
1449;96.5894853661452
1529;96.38869062498546
1610;96.59430185854107
1690;96.73987041548449
1771;96.63449454703034
1851;96.48409255680559
1932;96.15036639606264
2012;96.62700334679293
2093;96.90702424353628
2173;96.72861405545774
2254;95.7111392456895
2334;97.07582815422643
2415;96.89412553767073
2495;96.19953417619429
2576;96.8458104227694
2656;96.9400600531034
2737;96.99417562370492
2817;96.52746335971688
2898;96.55705729153827
2978;97.45909906597761
3059;96.78285340681498
3139;96.67252449486818
3220;96.23745442767469
3300;97.01925706240654
3381;97.36993320871132
3461;96.79920327515794
3542;97.06357321789655
3622;96.78216931821513
3703;97.09159332693885
3783;96.40685871519214
3864;96.56812960722175
3944;97.18109607074899
4025;95.6464726962352
4105;96.40778339507906
4186;96.30070460328295
4266;96.03949031250076
4347;96.60002263466632
4427;96.21113390115144
4508;96.64570346621336
4588;96.33981208758145
4669;96.27990495656485
4749;95.78615833823473
4830;96.34851784453943
4910;95.77166581656523
4991;95.20203920023975
5071;94.46098418173015
5152;93.93457625117158
5232;91.60689473340881
5313;92.65970045515706
5393;91.40824677840781
5474;92.03420027350894
5554;88.37522295763546
5635;88.08724523161153
5715;87.43476510079847
5796;82.88450425723808
5876;79.62086457277206
5957;76.54579698232328
6037;74.67069514605572
6118;71.8963450154473
6198;47.01046903205001
6279;32.392514165577666
6359;21.839096905485246
6440;28.040906483889422
6520;29.9707871760165
