
===================================
Domain Marker;critical-jOPS;2343.0
Domain Marker;max-jOPS;7519.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
96.0;500.0;2100.0;3200.0;3600.0;4400.0;168000.0
193.0;500.0;2500.0;3900.0;4400.0;5300.0;168000.0
289.0;500.0;2800.0;4400.0;5000.0;6100.0;121000.0
386.0;500.0;3000.0;5100.0;5700.0;7000.0;170000.0
482.0;500.0;3200.0;5700.0;6400.0;7900.0;111000.0
578.0;400.0;3500.0;6300.0;7100.0;8900.0;138000.0
675.0;500.0;3600.0;6800.0;7700.0;9400.0;167000.0
771.0;400.0;3800.0;7200.0;8200.0;10200.0;145000.0
868.0;500.0;3900.0;7700.0;8800.0;10800.0;159000.0
964.0;400.0;4000.0;8300.0;9500.0;12200.0;167000.0
1060.0;500.0;4000.0;8700.0;9900.0;12500.0;158000.0
1157.0;500.0;4200.0;9200.0;10600.0;13600.0;164000.0
1253.0;400.0;4300.0;9600.0;11100.0;14700.0;159000.0
1350.0;500.0;4200.0;9900.0;11500.0;15700.0;177000.0
1446.0;400.0;4200.0;10000.0;11700.0;15500.0;153000.0
1542.0;400.0;4300.0;10300.0;12200.0;16300.0;240000.0
1639.0;300.0;4300.0;10500.0;12500.0;17500.0;179000.0
1735.0;500.0;4200.0;10400.0;12600.0;21000.0;150000.0
1832.0;400.0;4300.0;10300.0;12300.0;18300.0;182000.0
1928.0;400.0;4200.0;10300.0;12400.0;24000.0;186000.0
2024.0;400.0;4300.0;10100.0;12200.0;20000.0;191000.0
2121.0;400.0;4400.0;10200.0;12500.0;33000.0;260000.0
2217.0;400.0;4300.0;10100.0;12200.0;22000.0;164000.0
2314.0;400.0;4400.0;10100.0;12300.0;28000.0;178000.0
2410.0;400.0;4300.0;9800.0;12100.0;30000.0;171000.0
2506.0;400.0;4400.0;10100.0;12500.0;44000.0;232000.0
2603.0;400.0;4400.0;10000.0;12500.0;44000.0;295000.0
2699.0;400.0;4400.0;9700.0;12000.0;36000.0;229000.0
2796.0;400.0;4600.0;10000.0;12600.0;47000.0;238000.0
2892.0;300.0;4700.0;10400.0;13500.0;72000.0;237000.0
2988.0;300.0;4500.0;9800.0;12700.0;71000.0;247000.0
